timestamp,year,session,events,tier,IND_MACRO,IND_Tier1,IND_Tier2,IND_Tier3,IND_FED,IND_Tier4,Adj Close,Close,High,Low,Open,Volume,IND_NE_remove
2022-12-15 00:00:00-05:00,2022,London 0-7 ET,,,,,,,,,114.796875,114.796875,114.796875,114.703125,114.734375,9865.0,0
2022-12-15 01:00:00-05:00,2022,London 0-7 ET,,,,,,,,,114.796875,114.796875,114.8125,114.734375,114.796875,7013.0,0
2022-12-15 02:00:00-05:00,2022,London 0-7 ET,,,,,,,,,114.765625,114.765625,114.796875,114.6875,114.78125,23173.0,0
2022-12-15 03:00:00-05:00,2022,London 0-7 ET,,,,,,,,,114.65625,114.65625,114.890625,114.640625,114.78125,50463.0,0
2022-12-15 04:00:00-05:00,2022,London 0-7 ET,,,,,,,,,114.8125,114.8125,114.8125,114.625,114.65625,30125.0,0
2022-12-15 05:00:00-05:00,2022,London 0-7 ET,,,,,,,,,114.75,114.75,114.84375,114.734375,114.8125,17793.0,0
2022-12-15 06:00:00-05:00,2022,London 0-7 ET,,,,,,,,,114.90625,114.90625,114.953125,114.734375,114.765625,27765.0,0
2022-12-15 07:00:00-05:00,2022,US Open 7-10 ET,,,,,,,,,114.859375,114.859375,115.0,114.84375,114.90625,41189.0,0
2022-12-15 08:00:00-05:00,2022,US Open 7-10 ET,,,,,,,,,115.03125,115.03125,115.078125,114.5625,114.859375,221364.0,0
2022-12-15 09:00:00-05:00,2022,US Open 7-10 ET,,,,,,,,,114.84375,114.84375,115.078125,114.796875,115.015625,159143.0,0
2022-12-15 10:00:00-05:00,2022,US Mid 10-15 ET,,,,,,,,,114.890625,114.890625,114.921875,114.640625,114.859375,158016.0,0
2022-12-15 11:00:00-05:00,2022,US Mid 10-15 ET,,,,,,,,,114.9375,114.9375,114.96875,114.84375,114.890625,80986.0,0
2022-12-15 12:00:00-05:00,2022,US Mid 10-15 ET,,,,,,,,,115.015625,115.015625,115.03125,114.9375,114.9375,65315.0,0
2022-12-15 15:00:00-05:00,2022,US Close 15-17 ET,,,,,,,,,114.96875,114.96875,114.984375,114.890625,114.9375,47081.0,0
2022-12-15 16:00:00-05:00,2022,US Close 15-17 ET,,,,,,,,,114.96875,114.96875,114.984375,114.921875,114.96875,24524.0,0
2022-12-15 18:00:00-05:00,2022,Asia 18-24 ET,,,,,,,,,114.859375,114.859375,114.953125,114.859375,114.9375,0.0,0
