date,return,All Data ZScore,This Batch ZScore
2025-01-03,2.75,-1.1523374154084565,-0.5083159383372726
2025-01-03,1.0,-1.9621493392289662,-1.5461276457758708
2025-01-03,5.0,-0.11115065621065821,0.826013399798068
2025-01-03,3.0,-1.0366499977198123,-0.36005712298890147
2025-01-05,3.5,-0.8052751623425237,-0.06353949229215912
2025-01-06,2.75,-1.1523374154084565,-0.5083159383372726
2025-01-06,5.75,0.23591159685527452,1.2707898458431814
2025-01-06,3.0,-1.0366499977198123,-0.36005712298890147
2025-01-06,4.5,-0.3425254915879467,0.5294957691013256
2025-01-06,6.0,0.3515990145439188,1.4190486611915527
2025-01-07,1.5,-1.7307745038516777,-1.2496100150791285
2025-01-07,3.75,-0.6895877446538794,0.08471932305621206
2025-01-07,1.75,-1.6150870861630333,-1.1013511997307572
2025-01-07,6.25,0.467286432232563,1.5673074765399237
