date,return,All Data ZScore,This Batch ZScore
2025-01-03,2.75,0.5223907247636068,-0.5083159383372726
2025-01-03,1.0,-1.133489308449335,-1.5461276457758708
2025-01-03,5.0,2.651379338894532,0.826013399798068
2025-01-03,3.0,0.7589450152225985,-0.36005712298890147
2025-01-05,3.5,1.2320535961405819,-0.06353949229215912
2025-01-06,2.75,0.5223907247636068,-0.5083159383372726
2025-01-06,5.75,3.361042210271507,1.2707898458431814
2025-01-06,3.0,0.7589450152225985,-0.36005712298890147
2025-01-06,4.5,2.1782707579765486,0.5294957691013256
2025-01-06,6.0,3.5975965007304986,1.4190486611915527
2025-01-07,1.5,-0.6603807275313517,-1.2496100150791285
2025-01-07,3.75,1.4686078865995735,0.08471932305621206
2025-01-07,1.75,-0.42382643707235995,-1.1013511997307572
2025-01-07,6.25,3.834150791189491,1.5673074765399237
