date,return,All Data ZScore,This Batch ZScore
2025-01-03,1.0,-2.534215189537185,-0.8678927211688109
2025-01-03,4.0,-1.255808546152822,0.4456746406002002
2025-01-05,2.25,-2.0015457547937006,-0.32057298709838966
2025-01-05,1.0,-2.534215189537185,-0.8678927211688109
2025-01-05,0.75,-2.6407490764858825,-0.9773566679828952
2025-01-05,3.5,-1.4688763200502157,0.22674674697203165
2025-01-06,2.5,-1.8950118678450036,-0.21110904028430538
2025-01-06,7.5,0.23566587112893558,1.9781698959973795
2025-01-06,0.75,-2.6407490764858825,-0.9773566679828952
2025-01-06,1.75,-2.2146135286910944,-0.5395008807265581
2025-01-06,3.5,-1.4688763200502157,0.22674674697203165
2025-01-06,3.0,-1.6819440939476096,0.007818853343863133
2025-01-07,8.0,0.4487336450263295,2.197097789625548
2025-01-07,2.25,-2.0015457547937006,-0.32057298709838966
