datetime,events,year
2015-01-21 21:59:50,4-Week Bill Auction,2015
2015-01-22 18:59:50,Initial Jobless Claims JAN/17,2015
2015-01-22 18:59:50,Continuing Jobless Claims JAN/10,2015
2015-01-22 19:29:50,House Price Index MoM NOV,2015
2015-01-22 20:59:50,EIA Natural Gas Stocks Change JAN/17,2015
2015-01-22 21:29:50,EIA Crude Oil Stocks Change JAN/17,2015
2015-01-22 21:29:50,EIA Gasoline Stocks Change JAN/17,2015
2015-01-23 18:59:50,Chicago Fed National Activity Index DEC,2015
2015-01-23 20:14:50,Markit Manufacturing PMI Flash JAN,2015
2015-01-23 20:29:50,Existing Home Sales DEC,2015
2015-01-23 20:29:50,Existing Home Sales MoM DEC,2015
2015-01-23 20:29:50,CB Leading Index MoM DEC,2015
2015-01-26 20:59:50,Dallas Fed Manufacturing Index JAN,2015
2015-01-26 21:59:50,3-Month Bill Auction,2015
2015-01-26 21:59:50,4-Week Bill Auction,2015
2015-01-26 21:59:50,6-Month Bill Auction,2015
2015-01-27 18:59:50,Durable Goods Orders MoM DEC,2015
2015-01-27 18:59:50,Durable Goods Orders Ex Transp MoM DEC,2015
2015-01-27 19:24:50,Redbook MoM JAN/24,2015
2015-01-27 19:24:50,Redbook YoY JAN/24,2015
2015-01-27 19:29:50,S&P/Case-Shiller Home Price MoM NOV,2015
2015-01-27 19:29:50,S&P/Case-Shiller Home Price YoY NOV,2015
2015-01-27 20:14:50,Markit Composite PMI Flash JAN,2015
2015-01-27 20:14:50,Markit Services PMI Flash JAN,2015
2015-01-27 20:29:50,New Home Sales DEC,2015
2015-01-27 20:29:50,New Home Sales MoM DEC,2015
2015-01-27 20:29:50,CB Consumer Confidence JAN,2015
2015-01-27 20:29:50,Richmond Fed Manufacturing Index JAN,2015
2015-01-28 17:29:50,MBA 30-Year Mortgage Rate JAN/24,2015
2015-01-28 17:29:50,MBA Mortgage Applications JAN/24,2015
2015-01-28 20:59:50,EIA Crude Oil Stocks Change JAN/24,2015
2015-01-28 20:59:50,EIA Gasoline Stocks Change JAN/24,2015
2015-01-28 23:29:50,2-Year Note Auction,2015
2015-01-29 00:29:50,Fed Interest Rate Decision,2015
2015-01-29 18:59:50,Initial Jobless Claims JAN/24,2015
2015-01-29 18:59:50,Continuing Jobless Claims JAN/17,2015
2015-01-29 20:29:50,Pending Home Sales MoM DEC,2015
2015-01-29 20:29:50,Pending Home Sales YoY DEC,2015
2015-01-29 20:59:50,EIA Natural Gas Stocks Change JAN/24,2015
2015-01-29 21:59:50,5-Year Note Auction,2015
2015-01-29 23:29:50,7-Year Note Auction,2015
2015-01-30 18:59:50,GDP Growth Rate QoQ Adv Q4,2015
2015-01-30 18:59:50,GDP Price Index QoQ Adv Q4,2015
2015-01-30 18:59:50,Core PCE Prices QoQ Q4,2015
2015-01-30 18:59:50,PCE Prices QoQ Q4,2015
2015-01-30 20:14:50,Chicago PMI JAN,2015
2015-01-30 20:29:50,Reuters Michigan Consumer Expectations Final JAN,2015
2015-01-30 20:29:50,Reuters Michigan Consumer Sentiment Final JAN,2015
2015-01-30 20:29:50,Reuters Michigan Current Conditions Final JAN,2015
2015-02-02 18:59:50,Personal Income (MoM) DEC,2015
2015-02-02 18:59:50,Personal Spending MoM DEC,2015
2015-02-02 18:59:50,PCE Price Index MoM DEC,2015
2015-02-02 18:59:50,PCE Price Index YoY DEC,2015
