timestamp,session,Adj Close,Close,High,Low,Open,Volume,event_before,exact_event,event_after
2022-12-15 00:00:00-05:00,London 0-7 ET,114.796875,114.796875,114.796875,114.703125,114.734375,9865.0,Fed Press Conference,,"Retail Sales MoM NOV, Initial Jobless Claims DEC/10, NY Empire State Manufacturing Index DEC, Philadelphia Fed Manufacturing Index DEC, Retail Sales Ex Autos MoM NOV, Continuing Jobless Claims DEC/03, Jobless Claims 4-week Average DEC/10, Philly Fed Business Conditions DEC, Philly Fed CAPEX Index DEC, Philly Fed Employment DEC, Philly Fed New Orders DEC, Philly Fed Prices Paid DEC, Retail Sales Ex Gas/Autos MoM NOV, Retail Sales YoY NOV"
2022-12-15 01:00:00-05:00,London 0-7 ET,114.796875,114.796875,114.8125,114.734375,114.796875,7013.0,Fed Press Conference,,"Retail Sales MoM NOV, Initial Jobless Claims DEC/10, NY Empire State Manufacturing Index DEC, Philadelphia Fed Manufacturing Index DEC, Retail Sales Ex Autos MoM NOV, Continuing Jobless Claims DEC/03, Jobless Claims 4-week Average DEC/10, Philly Fed Business Conditions DEC, Philly Fed CAPEX Index DEC, Philly Fed Employment DEC, Philly Fed New Orders DEC, Philly Fed Prices Paid DEC, Retail Sales Ex Gas/Autos MoM NOV, Retail Sales YoY NOV"
2022-12-15 02:00:00-05:00,London 0-7 ET,114.765625,114.765625,114.796875,114.6875,114.78125,23173.0,Fed Press Conference,,"Retail Sales MoM NOV, Initial Jobless Claims DEC/10, NY Empire State Manufacturing Index DEC, Philadelphia Fed Manufacturing Index DEC, Retail Sales Ex Autos MoM NOV, Continuing Jobless Claims DEC/03, Jobless Claims 4-week Average DEC/10, Philly Fed Business Conditions DEC, Philly Fed CAPEX Index DEC, Philly Fed Employment DEC, Philly Fed New Orders DEC, Philly Fed Prices Paid DEC, Retail Sales Ex Gas/Autos MoM NOV, Retail Sales YoY NOV"
2022-12-15 03:00:00-05:00,London 0-7 ET,114.65625,114.65625,114.890625,114.640625,114.78125,50463.0,Fed Press Conference,,"Retail Sales MoM NOV, Initial Jobless Claims DEC/10, NY Empire State Manufacturing Index DEC, Philadelphia Fed Manufacturing Index DEC, Retail Sales Ex Autos MoM NOV, Continuing Jobless Claims DEC/03, Jobless Claims 4-week Average DEC/10, Philly Fed Business Conditions DEC, Philly Fed CAPEX Index DEC, Philly Fed Employment DEC, Philly Fed New Orders DEC, Philly Fed Prices Paid DEC, Retail Sales Ex Gas/Autos MoM NOV, Retail Sales YoY NOV"
2022-12-15 04:00:00-05:00,London 0-7 ET,114.8125,114.8125,114.8125,114.625,114.65625,30125.0,Fed Press Conference,,"Retail Sales MoM NOV, Initial Jobless Claims DEC/10, NY Empire State Manufacturing Index DEC, Philadelphia Fed Manufacturing Index DEC, Retail Sales Ex Autos MoM NOV, Continuing Jobless Claims DEC/03, Jobless Claims 4-week Average DEC/10, Philly Fed Business Conditions DEC, Philly Fed CAPEX Index DEC, Philly Fed Employment DEC, Philly Fed New Orders DEC, Philly Fed Prices Paid DEC, Retail Sales Ex Gas/Autos MoM NOV, Retail Sales YoY NOV"
2022-12-15 05:00:00-05:00,London 0-7 ET,114.75,114.75,114.84375,114.734375,114.8125,17793.0,Fed Press Conference,,"Retail Sales MoM NOV, Initial Jobless Claims DEC/10, NY Empire State Manufacturing Index DEC, Philadelphia Fed Manufacturing Index DEC, Retail Sales Ex Autos MoM NOV, Continuing Jobless Claims DEC/03, Jobless Claims 4-week Average DEC/10, Philly Fed Business Conditions DEC, Philly Fed CAPEX Index DEC, Philly Fed Employment DEC, Philly Fed New Orders DEC, Philly Fed Prices Paid DEC, Retail Sales Ex Gas/Autos MoM NOV, Retail Sales YoY NOV"
2022-12-15 06:00:00-05:00,London 0-7 ET,114.90625,114.90625,114.953125,114.734375,114.765625,27765.0,Fed Press Conference,,"Retail Sales MoM NOV, Initial Jobless Claims DEC/10, NY Empire State Manufacturing Index DEC, Philadelphia Fed Manufacturing Index DEC, Retail Sales Ex Autos MoM NOV, Continuing Jobless Claims DEC/03, Jobless Claims 4-week Average DEC/10, Philly Fed Business Conditions DEC, Philly Fed CAPEX Index DEC, Philly Fed Employment DEC, Philly Fed New Orders DEC, Philly Fed Prices Paid DEC, Retail Sales Ex Gas/Autos MoM NOV, Retail Sales YoY NOV"
2022-12-15 07:00:00-05:00,US Open 7-10 ET,114.859375,114.859375,115.0,114.84375,114.90625,41189.0,Fed Press Conference,,"Retail Sales MoM NOV, Initial Jobless Claims DEC/10, NY Empire State Manufacturing Index DEC, Philadelphia Fed Manufacturing Index DEC, Retail Sales Ex Autos MoM NOV, Continuing Jobless Claims DEC/03, Jobless Claims 4-week Average DEC/10, Philly Fed Business Conditions DEC, Philly Fed CAPEX Index DEC, Philly Fed Employment DEC, Philly Fed New Orders DEC, Philly Fed Prices Paid DEC, Retail Sales Ex Gas/Autos MoM NOV, Retail Sales YoY NOV"
2022-12-15 08:00:00-05:00,US Open 7-10 ET,115.03125,115.03125,115.078125,114.5625,114.859375,221364.0,Fed Press Conference,,"Retail Sales MoM NOV, Initial Jobless Claims DEC/10, NY Empire State Manufacturing Index DEC, Philadelphia Fed Manufacturing Index DEC, Retail Sales Ex Autos MoM NOV, Continuing Jobless Claims DEC/03, Jobless Claims 4-week Average DEC/10, Philly Fed Business Conditions DEC, Philly Fed CAPEX Index DEC, Philly Fed Employment DEC, Philly Fed New Orders DEC, Philly Fed Prices Paid DEC, Retail Sales Ex Gas/Autos MoM NOV, Retail Sales YoY NOV"
2022-12-15 09:00:00-05:00,US Open 7-10 ET,114.84375,114.84375,115.078125,114.796875,115.015625,159143.0,"Retail Sales MoM NOV, Initial Jobless Claims DEC/10, NY Empire State Manufacturing Index DEC, Philadelphia Fed Manufacturing Index DEC, Retail Sales Ex Autos MoM NOV, Continuing Jobless Claims DEC/03, Jobless Claims 4-week Average DEC/10, Philly Fed Business Conditions DEC, Philly Fed CAPEX Index DEC, Philly Fed Employment DEC, Philly Fed New Orders DEC, Philly Fed Prices Paid DEC, Retail Sales Ex Gas/Autos MoM NOV, Retail Sales YoY NOV",,"Industrial Production MoM NOV, Industrial Production YoY NOV, Capacity Utilization NOV, Manufacturing Production MoM NOV, Manufacturing Production YoY NOV"
