,All day
count,247.0
mean,8.65991902834008
std,5.216813201395293
min,1.0
5%,3.25
25%,5.25
50%,7.75
68%,9.75048828125
90%,13.50029296875
95%,17.25
99%,25.234999999999978
99.7%,39.102500000000006
max,49.25
