Datetime,Adj Close,Close,High,Low,Open,Volume
2024-12-12 05:29:00+00:00,107.296875,107.296875,107.296875,107.296875,107.296875,0.0
2024-12-12 05:30:00+00:00,107.296875,107.296875,107.296875,107.296875,107.296875,170.0
2024-12-12 05:31:00+00:00,107.296875,107.296875,107.296875,107.296875,107.296875,175.0
2024-12-12 05:34:00+00:00,107.2890625,107.2890625,107.2890625,107.2890625,107.2890625,38.0
2024-12-12 05:38:00+00:00,107.296875,107.296875,107.296875,107.296875,107.296875,1.0
2024-12-12 05:39:00+00:00,107.2890625,107.2890625,107.2890625,107.2890625,107.2890625,1.0
2024-12-12 05:41:00+00:00,107.296875,107.296875,107.296875,107.296875,107.296875,8.0
2024-12-12 05:43:00+00:00,107.2890625,107.2890625,107.296875,107.2890625,107.296875,519.0
2024-12-12 05:46:00+00:00,107.2890625,107.2890625,107.2890625,107.2890625,107.2890625,629.0
2024-12-12 05:47:00+00:00,107.2890625,107.2890625,107.2890625,107.2890625,107.2890625,76.0
2024-12-12 05:51:00+00:00,107.296875,107.296875,107.296875,107.296875,107.296875,3.0
2024-12-12 05:52:00+00:00,107.296875,107.296875,107.296875,107.296875,107.296875,2.0
2024-12-12 05:56:00+00:00,107.296875,107.296875,107.296875,107.296875,107.296875,1260.0
2024-12-12 05:58:00+00:00,107.3046875,107.3046875,107.3046875,107.3046875,107.3046875,6.0
2024-12-12 05:59:00+00:00,107.296875,107.296875,107.3046875,107.296875,107.3046875,407.0
2024-12-12 06:00:00+00:00,107.296875,107.296875,107.296875,107.296875,107.296875,224.0
2024-12-12 06:03:00+00:00,107.296875,107.296875,107.296875,107.296875,107.296875,199.0
2024-12-12 06:06:00+00:00,107.296875,107.296875,107.296875,107.296875,107.296875,46.0
2024-12-12 06:07:00+00:00,107.296875,107.296875,107.296875,107.296875,107.296875,61.0
2024-12-12 06:08:00+00:00,107.296875,107.296875,107.296875,107.296875,107.296875,250.0
2024-12-12 06:14:00+00:00,107.296875,107.296875,107.296875,107.296875,107.296875,43.0
2024-12-12 06:15:00+00:00,107.296875,107.296875,107.296875,107.296875,107.296875,167.0
2024-12-12 06:18:00+00:00,107.296875,107.296875,107.296875,107.296875,107.296875,83.0
2024-12-12 06:19:00+00:00,107.2890625,107.2890625,107.2890625,107.2890625,107.2890625,8.0
2024-12-12 06:20:00+00:00,107.296875,107.296875,107.296875,107.296875,107.296875,120.0
2024-12-12 06:21:00+00:00,107.296875,107.296875,107.296875,107.296875,107.296875,13.0
2024-12-12 06:23:00+00:00,107.3046875,107.3046875,107.3046875,107.3046875,107.3046875,3.0
2024-12-12 06:26:00+00:00,107.3046875,107.3046875,107.3046875,107.3046875,107.3046875,10.0
2024-12-12 06:28:00+00:00,107.3046875,107.3046875,107.3046875,107.3046875,107.3046875,11.0
2024-12-12 06:29:00+00:00,107.3046875,107.3046875,107.3046875,107.3046875,107.3046875,2.0
2024-12-12 06:32:00+00:00,107.3125,107.3125,107.3125,107.3046875,107.3046875,155.0
2024-12-12 06:34:00+00:00,107.3125,107.3125,107.3125,107.3125,107.3125,270.0
2024-12-12 06:35:00+00:00,107.3125,107.3125,107.3125,107.3125,107.3125,1.0
2024-12-12 06:37:00+00:00,107.3046875,107.3046875,107.3046875,107.3046875,107.3046875,524.0
2024-12-12 06:38:00+00:00,107.3046875,107.3046875,107.3046875,107.3046875,107.3046875,50.0
2024-12-12 06:39:00+00:00,107.3046875,107.3046875,107.3046875,107.3046875,107.3046875,163.0
2024-12-12 06:40:00+00:00,107.3046875,107.3046875,107.3046875,107.3046875,107.3046875,93.0
2024-12-12 06:41:00+00:00,107.3046875,107.3046875,107.3046875,107.296875,107.3046875,19.0
2024-12-12 06:48:00+00:00,107.3046875,107.3046875,107.3046875,107.3046875,107.3046875,21.0
2024-12-12 06:49:00+00:00,107.3046875,107.3046875,107.3046875,107.3046875,107.3046875,510.0
2024-12-12 06:50:00+00:00,107.3046875,107.3046875,107.3125,107.3046875,107.3125,184.0
2024-12-12 06:51:00+00:00,107.3125,107.3125,107.3125,107.3046875,107.3046875,56.0
2024-12-12 06:53:00+00:00,107.3046875,107.3046875,107.3125,107.3046875,107.3125,117.0
2024-12-12 06:54:00+00:00,107.3046875,107.3046875,107.3046875,107.296875,107.3046875,143.0
2024-12-12 06:55:00+00:00,107.3046875,107.3046875,107.3046875,107.3046875,107.3046875,13.0
2024-12-12 06:56:00+00:00,107.3046875,107.3046875,107.3125,107.3046875,107.3046875,73.0
2024-12-12 06:57:00+00:00,107.3046875,107.3046875,107.3046875,107.3046875,107.3046875,89.0
