Datetime,Close,High,Low,Open,Volume
2025-02-20 20:11:00+00:00,102.75,102.7578125,102.75,102.7578125,0.0
2025-02-20 20:12:00+00:00,102.75,102.75390625,102.74609375,102.75390625,3405.0
2025-02-20 20:13:00+00:00,102.75390625,102.75390625,102.74609375,102.75,706.0
2025-02-20 20:14:00+00:00,102.75390625,102.75390625,102.75390625,102.75390625,285.0
2025-02-20 20:15:00+00:00,102.75,102.75,102.75,102.75,617.0
2025-02-20 20:16:00+00:00,102.75,102.75,102.75,102.75,772.0
2025-02-20 20:17:00+00:00,102.75,102.75390625,102.74609375,102.75,3389.0
2025-02-20 20:18:00+00:00,102.75,102.75390625,102.75,102.75390625,361.0
2025-02-20 20:19:00+00:00,102.74609375,102.75,102.74609375,102.75,376.0
2025-02-20 20:20:00+00:00,102.74609375,102.74609375,102.74609375,102.74609375,327.0
2025-02-20 20:21:00+00:00,102.74609375,102.74609375,102.74609375,102.74609375,3.0
2025-02-20 20:22:00+00:00,102.74609375,102.74609375,102.74609375,102.74609375,608.0
2025-02-20 20:23:00+00:00,102.74609375,102.75,102.74609375,102.75,573.0
2025-02-20 20:24:00+00:00,102.74609375,102.74609375,102.74609375,102.74609375,128.0
2025-02-20 20:25:00+00:00,102.75,102.75,102.74609375,102.74609375,572.0
2025-02-20 20:26:00+00:00,102.74609375,102.74609375,102.74609375,102.74609375,385.0
2025-02-20 20:27:00+00:00,102.74609375,102.75,102.74609375,102.74609375,295.0
2025-02-20 20:28:00+00:00,102.75,102.75,102.74609375,102.75,337.0
2025-02-20 20:29:00+00:00,102.74609375,102.75,102.74609375,102.74609375,356.0
2025-02-20 20:30:00+00:00,102.75,102.75,102.74609375,102.75,90.0
2025-02-20 20:31:00+00:00,102.75,102.75,102.74609375,102.74609375,468.0
2025-02-20 20:32:00+00:00,102.74609375,102.75,102.74609375,102.74609375,507.0
2025-02-20 20:33:00+00:00,102.74609375,102.74609375,102.74609375,102.74609375,52.0
2025-02-20 20:34:00+00:00,102.74609375,102.75,102.74609375,102.74609375,2587.0
2025-02-20 20:35:00+00:00,102.74609375,102.74609375,102.7421875,102.74609375,1053.0
2025-02-20 20:36:00+00:00,102.7421875,102.74609375,102.7421875,102.7421875,800.0
2025-02-20 20:37:00+00:00,102.7421875,102.74609375,102.7421875,102.7421875,348.0
2025-02-20 20:38:00+00:00,102.7421875,102.74609375,102.7421875,102.74609375,31.0
2025-02-20 20:39:00+00:00,102.7421875,102.7421875,102.7421875,102.7421875,425.0
2025-02-20 20:40:00+00:00,102.74609375,102.74609375,102.7421875,102.74609375,503.0
2025-02-20 20:41:00+00:00,102.74609375,102.74609375,102.7421875,102.7421875,263.0
2025-02-20 20:42:00+00:00,102.7421875,102.74609375,102.7421875,102.7421875,442.0
2025-02-20 20:43:00+00:00,102.7421875,102.74609375,102.7421875,102.7421875,244.0
2025-02-20 20:44:00+00:00,102.7421875,102.74609375,102.7421875,102.7421875,1999.0
2025-02-20 20:45:00+00:00,102.74609375,102.74609375,102.7421875,102.74609375,5106.0
2025-02-20 20:46:00+00:00,102.7421875,102.7421875,102.7421875,102.7421875,259.0
2025-02-20 20:47:00+00:00,102.7421875,102.74609375,102.7421875,102.7421875,628.0
2025-02-20 20:48:00+00:00,102.7421875,102.74609375,102.7421875,102.7421875,257.0
2025-02-20 20:49:00+00:00,102.7421875,102.74609375,102.7421875,102.74609375,471.0
2025-02-20 20:50:00+00:00,102.74609375,102.74609375,102.7421875,102.7421875,36.0
2025-02-20 20:51:00+00:00,102.7421875,102.74609375,102.7421875,102.7421875,7.0
2025-02-20 20:52:00+00:00,102.74609375,102.74609375,102.7421875,102.7421875,143.0
2025-02-20 20:53:00+00:00,102.74609375,102.74609375,102.7421875,102.74609375,1567.0
2025-02-20 20:54:00+00:00,102.74609375,102.74609375,102.7421875,102.74609375,2159.0
2025-02-20 20:55:00+00:00,102.7421875,102.74609375,102.7421875,102.74609375,74.0
2025-02-20 20:56:00+00:00,102.74609375,102.74609375,102.7421875,102.74609375,37.0
2025-02-20 20:57:00+00:00,102.7421875,102.74609375,102.7421875,102.74609375,21.0
2025-02-20 20:58:00+00:00,102.73828125,102.74609375,102.73828125,102.7421875,2497.0
2025-02-20 20:59:00+00:00,102.7421875,102.7421875,102.73828125,102.73828125,899.0
2025-02-20 21:00:00+00:00,102.7421875,102.74609375,102.73828125,102.7421875,3682.0
2025-02-20 21:01:00+00:00,102.74609375,102.74609375,102.7421875,102.7421875,978.0
2025-02-20 21:02:00+00:00,102.74609375,102.74609375,102.74609375,102.74609375,641.0
2025-02-20 21:03:00+00:00,102.7421875,102.74609375,102.7421875,102.74609375,109.0
2025-02-20 21:04:00+00:00,102.7421875,102.74609375,102.7421875,102.74609375,4743.0
2025-02-20 21:05:00+00:00,102.7421875,102.7421875,102.73828125,102.7421875,405.0
2025-02-20 21:06:00+00:00,102.7421875,102.7421875,102.7421875,102.7421875,432.0
2025-02-20 21:07:00+00:00,102.73828125,102.7421875,102.73828125,102.7421875,223.0
2025-02-20 21:08:00+00:00,102.73828125,102.73828125,102.73828125,102.73828125,782.0
2025-02-20 21:10:00+00:00,102.7421875,102.7421875,102.73828125,102.73828125,315.0
2025-02-20 21:11:00+00:00,102.73828125,102.7421875,102.73828125,102.73828125,100.0
2025-02-20 21:12:00+00:00,102.7421875,102.7421875,102.73828125,102.73828125,120.0
2025-02-20 21:13:00+00:00,102.7421875,102.7421875,102.7421875,102.7421875,18.0
2025-02-20 21:14:00+00:00,102.73828125,102.73828125,102.73828125,102.73828125,53.0
2025-02-20 21:15:00+00:00,102.73828125,102.7421875,102.73828125,102.7421875,15.0
2025-02-20 21:16:00+00:00,102.7421875,102.7421875,102.7421875,102.7421875,707.0
2025-02-20 21:17:00+00:00,102.73828125,102.7421875,102.73828125,102.73828125,1913.0
2025-02-20 21:18:00+00:00,102.7421875,102.7421875,102.73828125,102.7421875,2008.0
2025-02-20 21:19:00+00:00,102.7421875,102.7421875,102.7421875,102.7421875,180.0
2025-02-20 21:20:00+00:00,102.7421875,102.7421875,102.7421875,102.7421875,10.0
2025-02-20 21:21:00+00:00,102.7421875,102.7421875,102.7421875,102.7421875,8.0
2025-02-20 21:22:00+00:00,102.7421875,102.7421875,102.7421875,102.7421875,625.0
2025-02-20 21:23:00+00:00,102.7421875,102.7421875,102.73828125,102.73828125,2077.0
2025-02-20 21:24:00+00:00,102.73828125,102.7421875,102.73828125,102.73828125,1207.0
2025-02-20 21:25:00+00:00,102.73828125,102.73828125,102.73828125,102.73828125,2107.0
2025-02-20 21:26:00+00:00,102.7421875,102.7421875,102.7421875,102.7421875,610.0
2025-02-20 21:27:00+00:00,102.74609375,102.74609375,102.7421875,102.7421875,333.0
2025-02-20 21:28:00+00:00,102.74609375,102.74609375,102.74609375,102.74609375,33.0
2025-02-20 21:29:00+00:00,102.74609375,102.74609375,102.74609375,102.74609375,50.0
2025-02-20 21:30:00+00:00,102.74609375,102.74609375,102.7421875,102.74609375,732.0
2025-02-20 21:34:00+00:00,102.7421875,102.74609375,102.7421875,102.74609375,67.0
2025-02-20 21:37:00+00:00,102.74609375,102.74609375,102.7421875,102.7421875,291.0
2025-02-20 21:38:00+00:00,102.74609375,102.74609375,102.7421875,102.7421875,9820.0
2025-02-20 21:39:00+00:00,102.7421875,102.74609375,102.7421875,102.74609375,121.0
2025-02-20 21:40:00+00:00,102.7421875,102.7421875,102.7421875,102.7421875,93.0
2025-02-20 21:41:00+00:00,102.74609375,102.74609375,102.7421875,102.74609375,124.0
2025-02-20 21:42:00+00:00,102.74609375,102.74609375,102.7421875,102.74609375,99.0
2025-02-20 21:43:00+00:00,102.74609375,102.74609375,102.7421875,102.74609375,525.0
2025-02-20 21:44:00+00:00,102.74609375,102.74609375,102.7421875,102.7421875,86.0
2025-02-20 21:45:00+00:00,102.7421875,102.7421875,102.7421875,102.7421875,1104.0
2025-02-20 21:46:00+00:00,102.7421875,102.7421875,102.7421875,102.7421875,110.0
2025-02-20 21:47:00+00:00,102.7421875,102.7421875,102.7421875,102.7421875,214.0
2025-02-20 21:48:00+00:00,102.7421875,102.74609375,102.7421875,102.74609375,2664.0
2025-02-20 21:49:00+00:00,102.7421875,102.74609375,102.7421875,102.7421875,21.0
2025-02-20 21:50:00+00:00,102.74609375,102.74609375,102.7421875,102.7421875,54.0
2025-02-20 21:51:00+00:00,102.74609375,102.74609375,102.74609375,102.74609375,27.0
2025-02-20 21:52:00+00:00,102.7421875,102.7421875,102.7421875,102.7421875,142.0
2025-02-20 21:53:00+00:00,102.74609375,102.74609375,102.7421875,102.7421875,30.0
2025-02-20 21:54:00+00:00,102.74609375,102.74609375,102.74609375,102.74609375,1.0
2025-02-20 21:56:00+00:00,102.73828125,102.7421875,102.73828125,102.7421875,1107.0
2025-02-20 21:57:00+00:00,102.73828125,102.7421875,102.73828125,102.7421875,213.0
2025-02-20 21:58:00+00:00,102.7421875,102.7421875,102.73828125,102.73828125,81.0
2025-02-20 21:59:00+00:00,102.73828125,102.7421875,102.73828125,102.73828125,0.0
2025-02-20 23:00:00+00:00,102.73828125,102.73828125,102.734375,102.73828125,357.0
2025-02-20 23:01:00+00:00,102.734375,102.734375,102.734375,102.734375,1.0
2025-02-20 23:04:00+00:00,102.734375,102.734375,102.734375,102.734375,41.0
2025-02-20 23:05:00+00:00,102.73828125,102.73828125,102.73828125,102.73828125,1.0
2025-02-20 23:09:00+00:00,102.73828125,102.73828125,102.73828125,102.73828125,27.0
2025-02-20 23:10:00+00:00,102.734375,102.734375,102.734375,102.734375,500.0
2025-02-20 23:12:00+00:00,102.734375,102.734375,102.734375,102.734375,13.0
2025-02-20 23:13:00+00:00,102.734375,102.734375,102.734375,102.734375,69.0
2025-02-20 23:15:00+00:00,102.734375,102.734375,102.734375,102.734375,63.0
2025-02-20 23:21:00+00:00,102.734375,102.734375,102.734375,102.734375,34.0
2025-02-20 23:25:00+00:00,102.73828125,102.73828125,102.73828125,102.73828125,687.0
2025-02-20 23:27:00+00:00,102.73828125,102.73828125,102.73828125,102.73828125,2.0
2025-02-20 23:29:00+00:00,102.73828125,102.73828125,102.73828125,102.73828125,3956.0
2025-02-20 23:30:00+00:00,102.73828125,102.73828125,102.73828125,102.73828125,17.0
2025-02-20 23:32:00+00:00,102.734375,102.734375,102.734375,102.734375,80.0
2025-02-20 23:34:00+00:00,102.73828125,102.73828125,102.73828125,102.73828125,105.0
2025-02-20 23:36:00+00:00,102.734375,102.734375,102.73046875,102.734375,1473.0
2025-02-20 23:37:00+00:00,102.73046875,102.734375,102.73046875,102.734375,865.0
2025-02-20 23:38:00+00:00,102.73046875,102.734375,102.73046875,102.734375,63.0
2025-02-20 23:40:00+00:00,102.734375,102.734375,102.734375,102.734375,489.0
2025-02-20 23:41:00+00:00,102.734375,102.734375,102.734375,102.734375,70.0
2025-02-20 23:44:00+00:00,102.73828125,102.73828125,102.73828125,102.73828125,111.0
2025-02-20 23:45:00+00:00,102.73828125,102.73828125,102.73828125,102.73828125,3.0
2025-02-20 23:47:00+00:00,102.734375,102.73828125,102.734375,102.73828125,169.0
2025-02-20 23:50:00+00:00,102.73828125,102.73828125,102.73828125,102.73828125,285.0
2025-02-20 23:56:00+00:00,102.73828125,102.73828125,102.73828125,102.73828125,13.0
2025-02-21 00:04:00+00:00,102.734375,102.734375,102.734375,102.734375,152.0
2025-02-21 00:06:00+00:00,102.73828125,102.73828125,102.73828125,102.73828125,216.0
2025-02-21 00:08:00+00:00,102.73828125,102.73828125,102.73828125,102.73828125,14.0
2025-02-21 00:09:00+00:00,102.73828125,102.73828125,102.73828125,102.73828125,10.0
2025-02-21 00:10:00+00:00,102.7421875,102.7421875,102.7421875,102.7421875,1.0
2025-02-21 00:11:00+00:00,102.7421875,102.7421875,102.7421875,102.7421875,74.0
2025-02-21 00:12:00+00:00,102.7421875,102.7421875,102.7421875,102.7421875,84.0
2025-02-21 00:13:00+00:00,102.7421875,102.7421875,102.7421875,102.7421875,81.0
2025-02-21 00:14:00+00:00,102.7421875,102.7421875,102.7421875,102.7421875,4.0
2025-02-21 00:16:00+00:00,102.7421875,102.7421875,102.7421875,102.7421875,43.0
2025-02-21 00:17:00+00:00,102.7421875,102.7421875,102.7421875,102.7421875,6.0
2025-02-21 00:18:00+00:00,102.7421875,102.7421875,102.7421875,102.7421875,20.0
2025-02-21 00:22:00+00:00,102.73828125,102.73828125,102.73828125,102.73828125,95.0
2025-02-21 00:23:00+00:00,102.73828125,102.73828125,102.73828125,102.73828125,122.0
2025-02-21 00:24:00+00:00,102.73828125,102.73828125,102.73828125,102.73828125,68.0
2025-02-21 00:28:00+00:00,102.734375,102.734375,102.734375,102.734375,709.0
2025-02-21 00:30:00+00:00,102.734375,102.734375,102.734375,102.734375,23.0
2025-02-21 00:32:00+00:00,102.734375,102.734375,102.734375,102.734375,3.0
2025-02-21 00:34:00+00:00,102.734375,102.734375,102.734375,102.734375,6.0
2025-02-21 00:36:00+00:00,102.73828125,102.73828125,102.73828125,102.73828125,460.0
