Datetime,Adj Close,Close,High,Low,Open,Volume
2024-12-12 03:10:00+00:00,21755.75,21755.75,21757.0,21755.75,21757.0,0.0
2024-12-12 03:11:00+00:00,21755.75,21755.75,21756.0,21755.0,21755.5,32.0
2024-12-12 03:12:00+00:00,21755.0,21755.0,21757.25,21755.0,21756.75,32.0
2024-12-12 03:13:00+00:00,21755.5,21755.5,21755.5,21754.75,21755.25,19.0
2024-12-12 03:14:00+00:00,21755.5,21755.5,21755.5,21755.0,21755.25,4.0
2024-12-12 03:15:00+00:00,21756.75,21756.75,21756.75,21755.0,21755.25,42.0
2024-12-12 03:16:00+00:00,21757.75,21757.75,21757.75,21756.5,21756.5,26.0
2024-12-12 03:17:00+00:00,21757.75,21757.75,21757.75,21756.75,21756.75,26.0
2024-12-12 03:18:00+00:00,21757.25,21757.25,21757.5,21756.75,21757.25,12.0
2024-12-12 03:19:00+00:00,21757.0,21757.0,21758.5,21756.75,21757.25,33.0
2024-12-12 03:20:00+00:00,21756.25,21756.25,21758.5,21756.25,21757.5,39.0
2024-12-12 03:21:00+00:00,21757.25,21757.25,21758.5,21756.25,21756.5,34.0
2024-12-12 03:22:00+00:00,21755.75,21755.75,21757.5,21755.75,21757.5,24.0
2024-12-12 03:23:00+00:00,21756.5,21756.5,21757.0,21756.25,21756.25,12.0
2024-12-12 03:24:00+00:00,21756.75,21756.75,21757.0,21755.75,21755.75,25.0
2024-12-12 03:25:00+00:00,21757.5,21757.5,21757.5,21755.75,21756.0,22.0
2024-12-12 03:26:00+00:00,21758.5,21758.5,21759.5,21758.0,21758.0,63.0
2024-12-12 03:27:00+00:00,21759.75,21759.75,21759.75,21757.75,21758.75,54.0
2024-12-12 03:28:00+00:00,21762.75,21762.75,21763.25,21759.5,21759.5,168.0
2024-12-12 03:29:00+00:00,21761.5,21761.5,21763.5,21761.5,21762.75,70.0
2024-12-12 03:30:00+00:00,21760.5,21760.5,21761.25,21759.0,21761.25,84.0
2024-12-12 03:31:00+00:00,21762.25,21762.25,21762.75,21761.0,21761.5,61.0
2024-12-12 03:32:00+00:00,21761.75,21761.75,21762.75,21761.5,21762.75,15.0
2024-12-12 03:33:00+00:00,21762.5,21762.5,21762.5,21759.75,21761.5,59.0
2024-12-12 03:34:00+00:00,21762.0,21762.0,21763.25,21762.0,21762.5,48.0
2024-12-12 03:35:00+00:00,21760.5,21760.5,21762.75,21760.5,21762.5,41.0
2024-12-12 03:36:00+00:00,21760.5,21760.5,21761.5,21760.0,21761.0,44.0
2024-12-12 03:37:00+00:00,21759.0,21759.0,21760.75,21759.0,21759.75,18.0
2024-12-12 03:38:00+00:00,21759.0,21759.0,21759.25,21758.5,21759.0,44.0
2024-12-12 03:39:00+00:00,21757.0,21757.0,21758.75,21757.0,21758.25,57.0
2024-12-12 03:40:00+00:00,21756.75,21756.75,21757.75,21756.75,21757.25,27.0
2024-12-12 03:41:00+00:00,21756.25,21756.25,21756.75,21754.5,21756.0,53.0
