Datetime,Adj Close,Close,High,Low,Open,Volume
2024-12-12 05:35:00+00:00,117.90625,117.90625,117.90625,117.90625,117.90625,0.0
2024-12-12 05:36:00+00:00,117.90625,117.90625,117.90625,117.90625,117.90625,17.0
2024-12-12 05:38:00+00:00,117.90625,117.90625,117.90625,117.90625,117.90625,14.0
2024-12-12 05:39:00+00:00,117.9375,117.9375,117.9375,117.9375,117.9375,6.0
2024-12-12 05:42:00+00:00,117.90625,117.90625,117.90625,117.90625,117.90625,1.0
2024-12-12 05:44:00+00:00,117.90625,117.90625,117.90625,117.90625,117.90625,125.0
2024-12-12 05:45:00+00:00,117.90625,117.90625,117.90625,117.90625,117.90625,40.0
2024-12-12 05:49:00+00:00,117.9375,117.9375,117.9375,117.9375,117.9375,4.0
2024-12-12 05:50:00+00:00,117.9375,117.9375,117.9375,117.9375,117.9375,83.0
2024-12-12 05:52:00+00:00,117.96875,117.96875,117.96875,117.96875,117.96875,1.0
2024-12-12 05:53:00+00:00,117.9375,117.9375,117.9375,117.9375,117.9375,14.0
2024-12-12 05:54:00+00:00,117.9375,117.9375,117.9375,117.9375,117.9375,159.0
2024-12-12 05:56:00+00:00,117.96875,117.96875,117.96875,117.96875,117.96875,111.0
2024-12-12 05:57:00+00:00,117.96875,117.96875,117.96875,117.96875,117.96875,33.0
2024-12-12 05:58:00+00:00,117.96875,117.96875,117.96875,117.96875,117.96875,118.0
2024-12-12 05:59:00+00:00,117.96875,117.96875,117.96875,117.96875,117.96875,112.0
2024-12-12 06:02:00+00:00,117.9375,117.9375,117.9375,117.9375,117.9375,70.0
2024-12-12 06:05:00+00:00,117.9375,117.9375,117.9375,117.9375,117.9375,135.0
2024-12-12 06:06:00+00:00,117.9375,117.9375,117.9375,117.9375,117.9375,256.0
2024-12-12 06:09:00+00:00,117.96875,117.96875,117.96875,117.96875,117.96875,130.0
2024-12-12 06:13:00+00:00,117.9375,117.9375,117.96875,117.9375,117.96875,85.0
2024-12-12 06:15:00+00:00,117.96875,117.96875,117.96875,117.9375,117.96875,222.0
2024-12-12 06:18:00+00:00,117.96875,117.96875,117.96875,117.96875,117.96875,138.0
2024-12-12 06:21:00+00:00,117.96875,117.96875,117.96875,117.96875,117.96875,15.0
2024-12-12 06:22:00+00:00,117.96875,117.96875,117.96875,117.96875,117.96875,2.0
2024-12-12 06:23:00+00:00,117.96875,117.96875,117.96875,117.96875,117.96875,44.0
2024-12-12 06:24:00+00:00,117.96875,117.96875,117.96875,117.96875,117.96875,89.0
2024-12-12 06:25:00+00:00,117.96875,117.96875,117.96875,117.96875,117.96875,35.0
2024-12-12 06:26:00+00:00,117.96875,117.96875,117.96875,117.96875,117.96875,12.0
2024-12-12 06:29:00+00:00,117.96875,117.96875,117.96875,117.96875,117.96875,26.0
2024-12-12 06:30:00+00:00,117.96875,117.96875,117.96875,117.96875,117.96875,32.0
2024-12-12 06:31:00+00:00,117.96875,117.96875,117.96875,117.96875,117.96875,31.0
2024-12-12 06:34:00+00:00,118.0,118.0,118.0,118.0,118.0,403.0
2024-12-12 06:37:00+00:00,117.96875,117.96875,117.96875,117.96875,117.96875,249.0
2024-12-12 06:39:00+00:00,118.0,118.0,118.0,118.0,118.0,6.0
2024-12-12 06:41:00+00:00,117.96875,117.96875,117.96875,117.96875,117.96875,120.0
2024-12-12 06:42:00+00:00,117.9375,117.9375,117.96875,117.9375,117.96875,35.0
2024-12-12 06:45:00+00:00,117.96875,117.96875,117.96875,117.96875,117.96875,142.0
2024-12-12 06:46:00+00:00,117.96875,117.96875,117.96875,117.96875,117.96875,30.0
2024-12-12 06:47:00+00:00,117.96875,117.96875,117.96875,117.96875,117.96875,49.0
2024-12-12 06:48:00+00:00,117.96875,117.96875,117.96875,117.9375,117.96875,62.0
2024-12-12 06:49:00+00:00,118.0,118.0,118.0,118.0,118.0,1.0
2024-12-12 06:51:00+00:00,118.0,118.0,118.0,118.0,118.0,2.0
2024-12-12 06:54:00+00:00,118.0,118.0,118.0,118.0,118.0,3.0
2024-12-12 06:55:00+00:00,117.96875,117.96875,117.96875,117.96875,117.96875,14.0
2024-12-12 07:00:00+00:00,117.96875,117.96875,117.96875,117.9375,117.96875,276.0
2024-12-12 07:01:00+00:00,117.90625,117.90625,117.9375,117.90625,117.9375,203.0
