,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,52.0,54.0,54.0,50.0,53.0,70.0
mean,2.173076923076923,2.4074074074074074,2.634259259259259,0.835,1.25,3.4392857142857145
std,1.4378790732397961,2.182313282929322,2.094868484953714,0.7117992436532271,1.868257106338583,3.4085983865311156
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.1625000000000001,0.1625000000000001,0.0,0.0,0.25
25%,1.0,0.75,0.75,0.25,0.5,0.75
50%,2.0,1.75,2.5,0.75,0.75,2.875
68%,2.67,2.51,3.5,1.0,1.25,4.25
90%,4.0,5.25,5.350000000000001,2.0,2.25,6.850000000000001
95%,5.25,6.512499999999996,6.0,2.1374999999999993,2.8499999999999996,10.25
99%,5.3725000000000005,9.057499999999997,8.409999999999997,2.6274999999999995,8.049999999999969,14.085000000000008
99.7%,5.46175,9.892250000000002,9.523000000000003,2.7132500000000004,11.690000000000012,15.775500000000022
max,5.5,10.25,10.0,2.75,13.25,16.5
