Date,"Volatility of Returns (Session:All day, Interval:15m, Symbol:ZN)",All Data ZScore,Current Data (Latest 2 weeks) ZScore
2024-12-25,3.25,-1.1500186374741368,-1.7667615670913994
2024-12-26,8.0,0.0887831034961938,0.6557053238689728
2024-12-27,5.75,-0.49801772117396276,-0.4917789929017298
2024-12-29,4.5,-0.8240181793240497,-1.1292702799965646
2024-12-30,10.25,0.6755839281663504,1.8031896406396757
2024-12-31,7.0,-0.1720172630238758,0.14571229419310502
2025-01-01,7.25,-0.10681717139385839,0.27321055161207203
2025-01-02,8.5,0.21918328675622858,0.9107018387069068
2025-01-03,7.25,-0.10681717139385839,0.27321055161207203
2025-01-05,3.5,-1.0848185458441193,-1.6392633096724325
2025-01-06,7.5,-0.041617079763841,0.40070880903103895
2025-01-07,8.0,0.0887831034961938,0.6557053238689728
2025-01-08,7.5,-0.041617079763841,0.40070880903103895
2025-01-09,5.75,-0.49801772117396276,-0.4917789929017298
