Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:1m, Symbol:ZN)",All Data ZScore,Current data (Latest 2 weeks) ZScore
2025-01-07,2.0,-0.21134670862774974,-1.0795071420604676
2025-01-07,3.75,1.4361969518112991,0.25962829998922654
2025-01-07,1.75,-0.446710088690471,-1.270812205210424
2025-01-07,6.25,3.7898307524385113,2.1726789314887895
2025-01-07,2.25,0.02401667143497153,-0.8882020789105114
2025-01-08,3.0,0.7301068116231353,-0.3142868894606424
2025-01-08,4.0,1.6715603318740204,0.4509333631391828
2025-01-08,3.5,1.2008335717485779,0.0683232368392702
2025-01-08,4.25,1.9069237119367417,0.6422384262891392
2025-01-08,5.5,3.083740612250348,1.5987637420389207
2025-01-09,2.25,0.02401667143497153,-0.8882020789105114
2025-01-09,2.75,0.49474343156041406,-0.5055919526105987
2025-01-09,3.75,1.4361969518112991,0.25962829998922654
2025-01-09,2.75,0.49474343156041406,-0.5055919526105987
