,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,36.0,36.0,46.0,36.0,36.0,48.0
mean,7.0,3.9375,2.739130434782609,1.9236111111111112,3.5555555555555554,7.822916666666667
std,2.4849547279578355,1.449599698438947,1.5722917824867502,1.963796836710207,1.9356718205381296,3.7886161838661465
min,2.0,1.75,0.75,0.75,0.25,2.0
5%,3.875,1.75,1.0625,0.75,1.25,3.25
25%,5.4375,2.75,1.75,1.0,2.5,5.375
50%,6.375,4.0,2.25,1.375,3.125,7.25
68%,7.5,4.5,3.1500000000000004,1.75,3.7,8.49
90%,10.75,6.125,4.0,3.75,5.75,12.225000000000003
95%,12.0,6.5625,5.125,3.8125,6.4375,13.399999999999999
99%,12.325,6.9125,8.087499999999988,9.199999999999989,9.212499999999997,19.327500000000008
99.7%,12.447500000000002,6.973750000000001,9.426250000000008,11.160000000000025,9.763750000000007,21.54825000000001
max,12.5,7.0,10.0,12.0,10.0,22.5
