Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:15m, Symbol:ZN)",All Data ZScore,Current data (Latest 2 weeks) ZScore
2024-12-26,1.75,-0.03979508965690738,0.8712767335107653
2024-12-29,1.0,-0.4377459862259815,-0.4807044046955945
2024-12-30,1.5,-0.1724453885132654,0.42061635410864534
2025-01-01,2.25,0.22550550805580866,1.7725974923150052
2025-01-02,0.75,-0.5703962850823395,-0.9313647840977144
2025-01-05,0.75,-0.5703962850823395,-0.9313647840977144
2025-01-06,1.75,-0.03979508965690738,0.8712767335107653
2025-01-07,1.0,-0.4377459862259815,-0.4807044046955945
2025-01-08,1.0,-0.4377459862259815,-0.4807044046955945
2025-01-09,1.0,-0.4377459862259815,-0.4807044046955945
2025-01-12,2.5,0.3581558069121667,2.223257871717125
2025-01-13,1.0,-0.4377459862259815,-0.4807044046955945
2025-01-14,0.75,-0.5703962850823395,-0.9313647840977144
2025-01-15,1.0,-0.4377459862259815,-0.4807044046955945
2025-01-16,1.0,-0.4377459862259815,-0.4807044046955945
