Volatility of Returns Statistic,"(Session:Asia 18-24 ET, Interval:1m, Symbol:ZN)"
count,182.0
mean,3.3502747252747254
std,2.7914208408710737
min,0.0
10%,1.75
25%,2.0
50%,2.75
75%,3.5
95%,6.737499999999997
99%,16.222499999999982
max,23.25
skewness,4.548035380441085
kurtosis,26.91245759868938
