Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:15m, Symbol:ZN)",All Data ZScore,Current data (Latest 2 weeks) ZScore
2024-12-24,3.25,-0.42339832943439953,-0.12997273179616584
2024-12-26,6.0,1.5089195783034448,2.5507148614997552
2024-12-27,2.5,-0.9503941224538116,-0.8610693481495989
2024-12-30,2.5,-0.9503941224538116,-0.8610693481495989
2024-12-31,2.25,-1.1260593867936157,-1.1047682202674098
2025-01-02,4.25,0.2792627279248166,0.8448227566750782
2025-01-03,4.0,0.10359746358501258,0.6011238845572672
2025-01-06,3.0,-0.5990635937742036,-0.37367160391397686
2025-01-07,3.25,-0.42339832943439953,-0.12997273179616584
2025-01-08,4.25,0.2792627279248166,0.8448227566750782
2025-01-09,2.5,-0.9503941224538116,-0.8610693481495989
2025-01-10,4.5,0.45492799226462066,1.0885216287928892
2025-01-13,3.0,-0.5990635937742036,-0.37367160391397686
2025-01-14,2.75,-0.7747288581140076,-0.6173704760317879
2025-01-15,2.75,-0.7747288581140076,-0.6173704760317879
