"(Vol Return Stats:- Interval:1d, Symbol:FGBL)",All day
count,3308.0
mean,78.94740024183795
std,43.434663080914405
min,9.000000000000341
5%,34.00000000000034
25%,50.99999999999909
50%,68.00000000000068
68%,85.99999999999852
90%,130.00000000000114
95%,160.6500000000013
99%,235.99999999999983
99.7%,325.0790000000001
max,469.0000000000026
