,All day
count,5339.0
mean,10.285565696554832
std,5.770219922547343
min,0.0
5%,4.0
25%,6.5
50%,9.0
68%,11.25
90%,17.25
95%,21.0
99%,29.559999999999945
99.7%,39.49299999999994
max,74.5
