Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZN)",All Data ZScore,Current Data (Latest 2 weeks) ZScore
2025-01-01,3.25,-1.086031834880365,-1.1576006653173565
2025-01-02,8.5,0.1923688676133382,0.22887921899810837
2025-01-03,7.25,-0.11201225202801972,-0.1012350391722404
2025-01-05,3.5,-1.0251556109520936,-1.0915778136832868
2025-01-06,7.5,-0.051136028099748126,-0.035212187538170646
2025-01-07,9.25,0.374997539398153,0.42694777390031763
2025-01-08,7.25,-0.11201225202801972,-0.1012350391722404
2025-01-09,4.75,-0.7207744913107356,-0.761463555512938
2025-01-10,13.25,1.3490171222504983,1.4833134000454338
2025-01-12,4.25,-0.8425269391672787,-0.8935092587810775
2025-01-13,5.0,-0.659898267382464,-0.6954407038788681
2025-01-14,5.75,-0.47726959559764925,-0.49737214897665893
2025-01-15,16.5,2.1404080333180286,2.3416104712883405
2025-01-16,12.0,1.0446360026091404,1.1531991418750849
2025-01-17,6.5,-0.29464092381283447,-0.2993035940744497
