Volatility of Returns Statistic,"(Session:London 0-7 ET, Interval:15m, Symbol:ZN)"
count,15.0
mean,6.65
std,3.3378243555602847
min,2.0
10%,3.7
25%,4.75
50%,6.0
75%,7.75
95%,13.174999999999997
99%,14.434999999999999
max,14.75
skewness,1.2546250581297345
kurtosis,1.6634707343718862
