Volatility of Returns Statistic,"(Session:London 0-7 ET, Interval:1m, Symbol:ZN)"
count,15.0
mean,3.4833333333333334
std,1.3478377746103818
min,2.0
10%,2.25
25%,2.5
50%,2.75
75%,4.25
95%,5.975
99%,6.395
max,6.5
skewness,1.0520634715140535
kurtosis,0.34734560952893023
