,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,54.0,56.0,56.0,51.0,54.0,72.0
mean,2.1481481481481484,2.3660714285714284,2.6026785714285716,0.8530584597120142,1.25,3.4339447021484344
std,1.4369767452249393,2.1574207484202717,2.076807419680881,0.7160571242252964,1.845443138478802,3.368190997364196
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.1875,0.0,0.0,0.25
25%,1.0,0.75,0.75,0.25,0.5,0.75
50%,2.0,1.75,2.5,0.75,0.75,3.0
68%,2.75,2.5,3.3500000000000014,1.0,1.25,4.25
90%,4.0,5.25,5.25,2.0,2.25,6.699999999999999
95%,5.25,6.4375,6.0,2.125,2.8374999999999986,10.3625
99%,5.3675,9.012500000000006,8.350000000000009,2.625,7.817499999999988,14.015000000000022
99.7%,5.46025,9.878750000000002,9.505000000000003,2.7125000000000004,11.620250000000011,15.754500000000021
max,5.5,10.25,10.0,2.75,13.25,16.5
