Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,1.0,-1.2840138678263278,-1.2840138678263278
2024-10-14,4.0,-0.26593108081218325,-0.26593108081218325
2024-10-16,2.75,-0.6901322420680768,-0.6901322420680768
2024-10-17,4.5,-0.09625061630982584,-0.09625061630982584
2024-10-18,3.125,-0.5628718936913087,-0.5628718936913087
2024-10-20,1.125,-1.2415937517007385,-1.2415937517007385
2024-10-21,8.25,1.1763528674578547,1.1763528674578547
2024-10-22,4.5,-0.09625061630982584,-0.09625061630982584
2024-10-23,3.25,-0.5204517775657194,-0.5204517775657194
2024-10-24,3.125,-0.5628718936913087,-0.5628718936913087
2024-10-27,3.375,-0.47803166144013004,-0.47803166144013004
2024-10-28,4.75,-0.011410384058647142,-0.011410384058647142
2024-10-29,6.75,0.6673114739507825,0.6673114739507825
2024-11-03,2.5,-0.7749724743192555,-0.7749724743192555
2024-11-04,4.75,-0.011410384058647142,-0.011410384058647142
2024-11-05,13.0,2.7883172802302503,2.7883172802302503
2024-11-06,6.25,0.4976310094484251,0.4976310094484251
2024-11-07,8.625,1.3036132158346228,1.3036132158346228
2024-11-10,2.0,-0.9446529388216129,-0.9446529388216129
2024-11-11,4.125,-0.2235109646865939,-0.2235109646865939
2024-11-15,8.25,1.1763528674578547,1.1763528674578547
2024-11-17,1.5,-1.1143334033239702,-1.1143334033239702
2024-11-18,5.375,0.20069019656929962,0.20069019656929962
2024-11-19,5.0,0.07342984819253157,0.07342984819253157
2024-11-20,2.75,-0.6901322420680768,-0.6901322420680768
2024-11-21,4.75,-0.011410384058647142,-0.011410384058647142
2024-11-24,2.0,-0.9446529388216129,-0.9446529388216129
2024-11-25,7.125,0.7945718223275506,0.7945718223275506
2024-11-26,3.875,-0.30835119693777263,-0.30835119693777263
2024-11-28,1.875,-0.9870730549472023,-0.9870730549472023
2024-11-29,6.375,0.5400511255740145,0.5400511255740145
2024-12-01,2.125,-0.9022328226960236,-0.9022328226960236
2024-12-02,7.5,0.9218321707043187,0.9218321707043187
2024-12-03,7.5,0.9218321707043187,0.9218321707043187
2024-12-04,6.125,0.45521089332283576,0.45521089332283576
2024-12-05,5.375,0.20069019656929962,0.20069019656929962
2024-12-08,1.0,-1.2840138678263278,-1.2840138678263278
2024-12-10,7.0,0.7521517062019613,0.7521517062019613
2024-12-13,7.875,1.0490925190810867,1.0490925190810867
2024-12-15,1.5,-1.1143334033239702,-1.1143334033239702
2024-12-16,3.125,-0.5628718936913087,-0.5628718936913087
2024-12-17,4.375,-0.1386707324354152,-0.1386707324354152
2024-12-18,12.625,2.6610569318534822,2.6610569318534822
2024-12-22,1.25,-1.199173635575149,-1.199173635575149
2024-12-23,4.75,-0.011410384058647142,-0.011410384058647142
2024-12-24,2.75,-0.6901322420680768,-0.6901322420680768
2024-12-25,2.0,-0.9446529388216129,-0.9446529388216129
2024-12-26,4.375,-0.1386707324354152,-0.1386707324354152
2024-12-27,3.375,-0.47803166144013004,-0.47803166144013004
2024-12-29,0.875,-1.326433983951917,-1.326433983951917
2024-12-30,6.875,0.7097315900763719,0.7097315900763719
2024-12-31,4.0,-0.26593108081218325,-0.26593108081218325
2025-01-01,2.0,-0.9446529388216129,-0.9446529388216129
2025-01-02,5.5,0.24311031269488897,0.24311031269488897
2025-01-03,4.625,-0.0538305001842365,-0.0538305001842365
2025-01-05,1.875,-0.9870730549472023,-0.9870730549472023
2025-01-06,4.375,-0.1386707324354152,-0.1386707324354152
2025-01-07,5.125,0.11584996431812092,0.11584996431812092
2025-01-08,4.625,-0.0538305001842365,-0.0538305001842365
2025-01-09,2.5,-0.7749724743192555,-0.7749724743192555
2025-01-12,2.625,-0.7325523581936662,-0.7325523581936662
2025-01-16,7.75,1.0066724029554974,1.0066724029554974
2025-01-17,4.751953125,-0.010747569744184808,-0.010747569744184808
2025-01-19,1.25,-1.199173635575149,-1.199173635575149
2025-01-20,7.875,1.0490925190810867,1.0490925190810867
2025-01-21,5.25,0.15827008044371027,0.15827008044371027
2025-01-22,3.875,-0.30835119693777263,-0.30835119693777263
2025-01-23,3.75,-0.35077131306336196,-0.35077131306336196
2025-01-26,2.125,-0.9022328226960236,-0.9022328226960236
2025-01-27,7.0,0.7521517062019613,0.7521517062019613
2025-01-28,4.375,-0.1386707324354152,-0.1386707324354152
2025-01-29,6.0,0.4127907771972464,0.4127907771972464
2025-02-02,5.5,0.24311031269488897,0.24311031269488897
2025-02-03,4.75,-0.011410384058647142,-0.011410384058647142
2025-02-04,5.75,0.3279505449460677,0.3279505449460677
2025-02-05,6.375,0.5400511255740145,0.5400511255740145
2025-02-06,2.625,-0.7325523581936662,-0.7325523581936662
2025-02-09,1.625,-1.071913287198381,-1.071913287198381
2025-02-11,3.625,-0.39319142918895134,-0.39319142918895134
2025-02-14,6.625,0.6248913578251931,0.6248913578251931
2025-02-16,1.5,-1.1143334033239702,-1.1143334033239702
2025-02-17,2.125,-0.9022328226960236,-0.9022328226960236
2025-02-18,3.75,-0.35077131306336196,-0.35077131306336196
2025-02-19,4.625,-0.0538305001842365,-0.0538305001842365
2025-02-20,2.5,-0.7749724743192555,-0.7749724743192555
2025-02-23,0.875,-1.326433983951917,-1.326433983951917
2025-02-24,6.25,0.4976310094484251,0.4976310094484251
2025-02-25,6.875,0.7097315900763719,0.7097315900763719
2025-02-26,9.0,1.4308735642113908,1.4308735642113908
2025-03-02,4.75,-0.011410384058647142,-0.011410384058647142
