Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-11-03,2.5,-0.4560893155922085,-0.4560893155922085
2024-11-04,3.5,-0.07150807451313944,-0.07150807451313944
2024-11-05,10.0,2.4282699925008098,2.4282699925008098
2024-11-06,5.0,0.5053637871054641,0.5053637871054641
2024-11-07,5.5,0.6976544076449988,0.6976544076449988
2024-11-10,3.0,-0.263798695052674,-0.263798695052674
2024-11-11,5.25,0.6015090973752314,0.6015090973752314
2024-11-12,4.5,0.31307316656592965,0.31307316656592965
2024-11-17,3.25,-0.1676533847829067,-0.1676533847829067
2024-11-18,7.75,1.5629622000729042,1.5629622000729042
2024-11-19,3.5,-0.07150807451313944,-0.07150807451313944
2024-11-20,3.5,-0.07150807451313944,-0.07150807451313944
2024-11-21,4.25,0.21692785629616237,0.21692785629616237
2024-11-24,3.25,-0.1676533847829067,-0.1676533847829067
2024-11-25,2.5,-0.4560893155922085,-0.4560893155922085
2024-11-26,7.0,1.2745262692636024,1.2745262692636024
2024-12-01,5.5,0.6976544076449988,0.6976544076449988
2024-12-02,4.75,0.4092184768356969,0.4092184768356969
2024-12-03,6.0,0.8899450281845332,0.8899450281845332
2024-12-04,5.25,0.6015090973752314,0.6015090973752314
2024-12-05,4.0,0.1207825460263951,0.1207825460263951
2024-12-08,5.25,0.6015090973752314,0.6015090973752314
2024-12-09,6.0,0.8899450281845332,0.8899450281845332
2024-12-10,2.0,-0.648379936131743,-0.648379936131743
2024-12-15,1.75,-0.7445252464015103,-0.7445252464015103
2024-12-16,3.25,-0.1676533847829067,-0.1676533847829067
2024-12-17,2.75,-0.35994400532244125,-0.35994400532244125
2024-12-18,3.75,0.024637235756627827,0.024637235756627827
2024-12-22,3.0,-0.263798695052674,-0.263798695052674
2024-12-23,0.5,-1.2252517977503468,-1.2252517977503468
2024-12-25,1.5,-0.8406705566712775,-0.8406705566712775
2024-12-26,3.75,0.024637235756627827,0.024637235756627827
2024-12-29,4.0,0.1207825460263951,0.1207825460263951
2024-12-30,1.5,-0.8406705566712775,-0.8406705566712775
2025-01-01,5.25,0.6015090973752314,0.6015090973752314
2025-01-02,2.75,-0.35994400532244125,-0.35994400532244125
2025-01-05,2.25,-0.5522346258619758,-0.5522346258619758
2025-01-06,2.5,-0.4560893155922085,-0.4560893155922085
2025-01-07,2.25,-0.5522346258619758,-0.5522346258619758
2025-01-08,2.75,-0.35994400532244125,-0.35994400532244125
2025-01-09,2.25,-0.5522346258619758,-0.5522346258619758
2025-01-12,2.0,-0.648379936131743,-0.648379936131743
2025-01-13,3.25,-0.1676533847829067,-0.1676533847829067
2025-01-16,2.5,-0.4560893155922085,-0.4560893155922085
2025-01-19,2.5,-0.4560893155922085,-0.4560893155922085
2025-01-20,5.75,0.793799717914766,0.793799717914766
2025-01-21,4.5,0.31307316656592965,0.31307316656592965
2025-01-22,3.25,-0.1676533847829067,-0.1676533847829067
2025-01-23,3.5,-0.07150807451313944,-0.07150807451313944
2025-01-26,9.0,2.043688751421741,2.043688751421741
2025-01-27,3.75,0.024637235756627827,0.024637235756627827
2025-01-28,1.75,-0.7445252464015103,-0.7445252464015103
2025-01-29,3.25,-0.1676533847829067,-0.1676533847829067
2025-02-02,9.25,2.139834061691508,2.139834061691508
2025-02-03,2.25,-0.5522346258619758,-0.5522346258619758
2025-02-04,2.25,-0.5522346258619758,-0.5522346258619758
2025-02-05,1.75,-0.7445252464015103,-0.7445252464015103
2025-02-06,2.0,-0.648379936131743,-0.648379936131743
2025-02-09,2.75,-0.35994400532244125,-0.35994400532244125
2025-02-10,1.75,-0.7445252464015103,-0.7445252464015103
2025-02-11,3.0,-0.263798695052674,-0.263798695052674
2025-02-16,2.75,-0.35994400532244125,-0.35994400532244125
2025-02-17,3.25,-0.1676533847829067,-0.1676533847829067
2025-02-18,1.5,-0.8406705566712775,-0.8406705566712775
2025-02-19,2.5,-0.4560893155922085,-0.4560893155922085
2025-02-20,2.75,-0.35994400532244125,-0.35994400532244125
