,All day
count,5338.0
mean,10.286930545879777
std,5.769898537616515
min,0.0
5%,4.0
25%,6.5
50%,9.0
68%,11.25
90%,17.25
95%,21.0
99%,29.565000000000055
99.7%,39.49449999999979
max,74.5
