Volatility of Returns Statistic,"(Session:Asia 18-24 ET, Interval:1m, Symbol:ZN)"
count,15.0
mean,2.3666666666666667
std,0.8338093878327919
min,1.5
10%,1.5
25%,1.75
50%,2.0
75%,2.875
95%,3.724999999999999
99%,4.145
max,4.25
skewness,0.9006906825943761
kurtosis,0.17557910634121088
