Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,6.5,-0.7772452113753733,-0.7772452113753733
2024-10-16,7.0,-0.6945797671337381,-0.6945797671337381
2024-10-17,6.0,-0.8599106556170083,-0.8599106556170083
2024-10-18,6.0,-0.8599106556170083,-0.8599106556170083
2024-10-21,10.0,-0.1985871016839279,-0.1985871016839279
2024-10-22,5.5,-0.9425760998586433,-0.9425760998586433
2024-10-23,9.0,-0.363917990167198,-0.363917990167198
2024-10-24,15.0,0.6280673407324225,0.6280673407324225
2024-10-28,11.5,0.04940923104097725,0.04940923104097725
2024-10-29,14.5,0.5454018964907875,0.5454018964907875
2024-11-04,15.0,0.6280673407324225,0.6280673407324225
2024-11-05,17.5,1.0413945619405978,1.0413945619405978
2024-11-06,17.0,0.9587291176989627,0.9587291176989627
2024-11-07,7.5,-0.6119143228921031,-0.6119143228921031
2024-11-11,6.5,-0.7772452113753733,-0.7772452113753733
2024-11-15,17.5,1.0413945619405978,1.0413945619405978
2024-11-18,15.0,0.6280673407324225,0.6280673407324225
2024-11-19,7.0,-0.6945797671337381,-0.6945797671337381
2024-11-20,9.0,-0.363917990167198,-0.363917990167198
2024-11-21,14.5,0.5454018964907875,0.5454018964907875
2024-11-25,11.0,-0.0332562132006578,-0.0332562132006578
2024-11-26,7.0,-0.6945797671337381,-0.6945797671337381
2024-11-28,4.0,-1.1905724325835485,-1.1905724325835485
2024-11-29,10.0,-0.1985871016839279,-0.1985871016839279
2024-12-02,17.0,0.9587291176989627,0.9587291176989627
2024-12-03,10.5,-0.11592165744229285,-0.11592165744229285
2024-12-04,15.0,0.6280673407324225,0.6280673407324225
2024-12-05,10.0,-0.1985871016839279,-0.1985871016839279
2024-12-10,6.5,-0.7772452113753733,-0.7772452113753733
2024-12-13,10.0,-0.1985871016839279,-0.1985871016839279
2024-12-16,7.5,-0.6119143228921031,-0.6119143228921031
2024-12-17,7.0,-0.6945797671337381,-0.6945797671337381
2024-12-18,22.5,1.8680490043569482,1.8680490043569482
2024-12-23,9.5,-0.2812525459255629,-0.2812525459255629
2024-12-24,12.0,0.1320746752826123,0.1320746752826123
2024-12-26,12.5,0.21474011952424735,0.21474011952424735
2024-12-27,9.0,-0.363917990167198,-0.363917990167198
2024-12-30,5.5,-0.9425760998586433,-0.9425760998586433
2024-12-31,14.5,0.5454018964907875,0.5454018964907875
2025-01-02,15.0,0.6280673407324225,0.6280673407324225
2025-01-03,6.5,-0.7772452113753733,-0.7772452113753733
2025-01-06,9.0,-0.363917990167198,-0.363917990167198
2025-01-07,5.5,-0.9425760998586433,-0.9425760998586433
2025-01-08,7.0,-0.6945797671337381,-0.6945797671337381
2025-01-09,5.0,-1.0252415441002785,-1.0252415441002785
2025-01-16,17.5,1.0413945619405978,1.0413945619405978
2025-01-17,7.0,-0.6945797671337381,-0.6945797671337381
2025-01-20,4.5,-1.1079069883419135,-1.1079069883419135
2025-01-21,8.5,-0.446583434408833,-0.446583434408833
2025-01-22,10.0,-0.1985871016839279,-0.1985871016839279
2025-01-23,6.0,-0.8599106556170083,-0.8599106556170083
2025-01-27,8.0,-0.5292488786504681,-0.5292488786504681
2025-01-28,7.0,-0.6945797671337381,-0.6945797671337381
2025-01-29,15.0,0.6280673407324225,0.6280673407324225
2025-02-03,13.5,0.3800710080075174,0.3800710080075174
2025-02-04,8.0,-0.5292488786504681,-0.5292488786504681
2025-02-05,9.0,-0.363917990167198,-0.363917990167198
2025-02-06,10.0,-0.1985871016839279,-0.1985871016839279
2025-02-11,5.0,-1.0252415441002785,-1.0252415441002785
2025-02-14,8.0,-0.5292488786504681,-0.5292488786504681
2025-02-17,2.0,-1.5212342095500886,-1.5212342095500886
2025-02-18,8.0,-0.5292488786504681,-0.5292488786504681
2025-02-19,6.5,-0.7772452113753733,-0.7772452113753733
2025-02-20,3.0,-1.3559033210668185,-1.3559033210668185
2025-02-24,7.0,-0.6945797671337381,-0.6945797671337381
2025-02-25,6.5,-0.7772452113753733,-0.7772452113753733
2025-02-26,17.5,1.0413945619405978,1.0413945619405978
2025-03-03,12.5,0.21474011952424735,0.21474011952424735
2025-03-04,25.0,2.2813762255651233,2.2813762255651233
2025-03-05,12.5,0.21474011952424735,0.21474011952424735
2025-03-06,15.5,0.7107327849740577,0.7107327849740577
2025-03-11,23.5,2.0333798928402183,2.0333798928402183
2025-03-17,14.0,0.4627364522491525,0.4627364522491525
2025-03-18,15.5,0.7107327849740577,0.7107327849740577
2025-03-19,12.5,0.21474011952424735,0.21474011952424735
2025-03-20,14.5,0.5454018964907875,0.5454018964907875
2025-03-21,9.5,-0.2812525459255629,-0.2812525459255629
2025-03-24,5.5,-0.9425760998586433,-0.9425760998586433
2025-03-25,7.0,-0.6945797671337381,-0.6945797671337381
2025-03-26,7.5,-0.6119143228921031,-0.6119143228921031
2025-03-31,11.5,0.04940923104097725,0.04940923104097725
2025-04-01,8.0,-0.5292488786504681,-0.5292488786504681
2025-04-02,21.5,1.7027181158736782,1.7027181158736782
2025-04-03,12.0,0.1320746752826123,0.1320746752826123
2025-04-07,29.0,2.9426997794982044,2.9426997794982044
2025-04-08,28.0,2.7773688910149343,2.7773688910149343
2025-04-09,35.5,4.01735055463946,4.01735055463946
