Volatility of Returns Statistic,"(Session:Asia 18-24 ET, Interval:15m, Symbol:ZN)"
count,15.0
mean,2.4166666666666665
std,1.3183683999911548
min,0.0
10%,0.9000000000000001
25%,1.75
50%,2.25
75%,2.875
95%,4.374999999999998
99%,5.074999999999999
max,5.25
skewness,0.23653586661720488
kurtosis,0.7078864558222797
