Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:1m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-09-30,3.25,0.47052199823914803,0.47052199823914803
2024-10-01,2.0,-0.23849764769485882,-0.23849764769485882
2024-10-02,1.25,-0.6639094352552629,-0.6639094352552629
2024-10-03,1.5,-0.5221055060684615,-0.5221055060684615
2024-10-07,1.25,-0.6639094352552629,-0.6639094352552629
2024-10-08,2.5,0.045110210678743906,0.045110210678743906
2024-10-09,1.75,-0.3803015768816602,-0.3803015768816602
2024-10-14,1.25,-0.6639094352552629,-0.6639094352552629
2024-10-15,1.25,-0.6639094352552629,-0.6639094352552629
2024-10-16,1.0,-0.8057133644420643,-0.8057133644420643
2024-10-17,1.5,-0.5221055060684615,-0.5221055060684615
2024-10-18,1.25,-0.6639094352552629,-0.6639094352552629
2024-10-21,1.75,-0.3803015768816602,-0.3803015768816602
2024-10-22,1.25,-0.6639094352552629,-0.6639094352552629
2024-10-23,2.0,-0.23849764769485882,-0.23849764769485882
2024-10-24,2.0,-0.23849764769485882,-0.23849764769485882
2024-10-25,2.25,-0.09669371850805746,-0.09669371850805746
2024-10-28,2.0,-0.23849764769485882,-0.23849764769485882
2024-10-29,3.25,0.47052199823914803,0.47052199823914803
2024-11-04,3.75,0.7541298566127508,0.7541298566127508
2024-11-05,2.5,0.045110210678743906,0.045110210678743906
2024-11-06,2.75,0.18691413986554528,0.18691413986554528
2024-11-07,3.75,0.7541298566127508,0.7541298566127508
2024-11-08,2.0,-0.23849764769485882,-0.23849764769485882
2024-11-11,2.25,-0.09669371850805746,-0.09669371850805746
2024-11-12,1.75,-0.3803015768816602,-0.3803015768816602
2024-11-15,2.25,-0.09669371850805746,-0.09669371850805746
2024-11-18,1.75,-0.3803015768816602,-0.3803015768816602
2024-11-19,2.25,-0.09669371850805746,-0.09669371850805746
2024-11-20,1.5,-0.5221055060684615,-0.5221055060684615
2024-11-21,1.5,-0.5221055060684615,-0.5221055060684615
2024-11-22,2.0,-0.23849764769485882,-0.23849764769485882
2024-11-25,1.5,-0.5221055060684615,-0.5221055060684615
2024-11-26,2.0,-0.23849764769485882,-0.23849764769485882
2024-12-02,4.0,0.8959337857995521,0.8959337857995521
2024-12-03,3.75,0.7541298566127508,0.7541298566127508
2024-12-04,1.5,-0.5221055060684615,-0.5221055060684615
2024-12-05,3.5,0.6123259274259494,0.6123259274259494
2024-12-09,3.5,0.6123259274259494,0.6123259274259494
2024-12-10,2.75,0.18691413986554528,0.18691413986554528
2024-12-13,1.5,-0.5221055060684615,-0.5221055060684615
2024-12-16,1.5,-0.5221055060684615,-0.5221055060684615
2024-12-17,2.25,-0.09669371850805746,-0.09669371850805746
2024-12-18,4.75,1.3213455733599562,1.3213455733599562
2024-12-23,1.75,-0.3803015768816602,-0.3803015768816602
2024-12-26,1.25,-0.6639094352552629,-0.6639094352552629
2024-12-27,1.5,-0.5221055060684615,-0.5221055060684615
2024-12-30,2.0,-0.23849764769485882,-0.23849764769485882
2024-12-31,1.25,-0.6639094352552629,-0.6639094352552629
2025-01-02,1.75,-0.3803015768816602,-0.3803015768816602
2025-01-03,1.0,-0.8057133644420643,-0.8057133644420643
2025-01-06,3.0,0.32871806905234663,0.32871806905234663
2025-01-07,1.75,-0.3803015768816602,-0.3803015768816602
2025-01-08,3.5,0.6123259274259494,0.6123259274259494
2025-01-13,2.25,-0.09669371850805746,-0.09669371850805746
2025-01-16,1.75,-0.3803015768816602,-0.3803015768816602
2025-01-17,3.0,0.32871806905234663,0.32871806905234663
2025-01-21,2.0,-0.23849764769485882,-0.23849764769485882
2025-01-22,2.75,0.18691413986554528,0.18691413986554528
2025-01-23,1.5,-0.5221055060684615,-0.5221055060684615
2025-01-24,1.25,-0.6639094352552629,-0.6639094352552629
2025-01-27,1.75,-0.3803015768816602,-0.3803015768816602
2025-01-28,2.5,0.045110210678743906,0.045110210678743906
2025-01-29,3.25,0.47052199823914803,0.47052199823914803
2025-02-03,3.75,0.7541298566127508,0.7541298566127508
2025-02-04,1.75,-0.3803015768816602,-0.3803015768816602
2025-02-05,1.75,-0.3803015768816602,-0.3803015768816602
2025-02-06,0.75,-0.9475172936288656,-0.9475172936288656
2025-02-10,2.0,-0.23849764769485882,-0.23849764769485882
2025-02-11,0.75,-0.9475172936288656,-0.9475172936288656
2025-02-14,1.0,-0.8057133644420643,-0.8057133644420643
2025-02-18,2.0,-0.23849764769485882,-0.23849764769485882
2025-02-19,1.25,-0.6639094352552629,-0.6639094352552629
2025-02-20,1.25,-0.6639094352552629,-0.6639094352552629
2025-02-21,2.501953125,0.046218053875515794,0.046218053875515794
2025-02-24,1.5,-0.5221055060684615,-0.5221055060684615
2025-02-25,1.5,-0.5221055060684615,-0.5221055060684615
2025-02-26,2.5,0.045110210678743906,0.045110210678743906
2025-03-03,4.75,1.3213455733599562,1.3213455733599562
2025-03-04,7.0,2.5975809360411684,2.5975809360411684
2025-03-05,3.5,0.6123259274259494,0.6123259274259494
2025-03-06,2.0,-0.23849764769485882,-0.23849764769485882
2025-03-10,3.25,0.47052199823914803,0.47052199823914803
2025-03-11,2.25,-0.09669371850805746,-0.09669371850805746
2025-03-14,1.5,-0.5221055060684615,-0.5221055060684615
2025-03-17,1.75,-0.3803015768816602,-0.3803015768816602
2025-03-18,1.75,-0.3803015768816602,-0.3803015768816602
2025-03-19,2.25,-0.09669371850805746,-0.09669371850805746
2025-03-20,1.75,-0.3803015768816602,-0.3803015768816602
2025-03-21,1.25,-0.6639094352552629,-0.6639094352552629
2025-03-24,1.75,-0.3803015768816602,-0.3803015768816602
2025-03-25,1.5,-0.5221055060684615,-0.5221055060684615
2025-03-26,2.5,0.045110210678743906,0.045110210678743906
2025-03-31,4.25,1.0377377149863534,1.0377377149863534
2025-04-01,2.0,-0.23849764769485882,-0.23849764769485882
2025-04-02,14.75,6.993502740832011,6.993502740832011
2025-04-03,3.75,0.7541298566127508,0.7541298566127508
2025-04-04,4.0,0.8959337857995521,0.8959337857995521
2025-04-07,10.0,4.299228086282785,4.299228086282785
2025-04-08,8.0,3.164796652788374,3.164796652788374
2025-04-09,11.5,5.150051661403593,5.150051661403593
2025-04-14,3.75,0.7541298566127508,0.7541298566127508
2025-04-15,2.75,0.18691413986554528,0.18691413986554528
2025-04-16,3.25,0.47052199823914803,0.47052199823914803
2025-04-17,1.5,-0.5221055060684615,-0.5221055060684615
2025-04-21,2.0,-0.23849764769485882,-0.23849764769485882
2025-04-22,2.0,-0.23849764769485882,-0.23849764769485882
2025-04-23,2.25,-0.09669371850805746,-0.09669371850805746
2025-04-24,1.25,-0.6639094352552629,-0.6639094352552629
2025-04-25,3.5,0.6123259274259494,0.6123259274259494
2025-04-28,1.5,-0.5221055060684615,-0.5221055060684615
2025-04-29,1.5,-0.5221055060684615,-0.5221055060684615
2025-05-01,3.25,0.47052199823914803,0.47052199823914803
2025-05-05,1.75,-0.3803015768816602,-0.3803015768816602
2025-05-06,1.75,-0.3803015768816602,-0.3803015768816602
2025-05-07,2.5,0.045110210678743906,0.045110210678743906
2025-05-08,2.75,0.18691413986554528,0.18691413986554528
2025-05-09,1.5059814453127274,-0.5187127362782187,-0.5187127362782187
2025-05-12,2.5,0.045110210678743906,0.045110210678743906
2025-05-14,2.0,-0.23849764769485882,-0.23849764769485882
2025-05-16,7.25,2.73938486522797,2.73938486522797
2025-05-19,3.0,0.32871806905234663,0.32871806905234663
2025-05-20,1.75,-0.3803015768816602,-0.3803015768816602
2025-05-21,2.75,0.18691413986554528,0.18691413986554528
