,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,39.0,39.0,48.0,38.0,38.0,51.0
mean,7.115384615384615,3.8333333333333335,2.7447916666666665,1.868421052631579,3.5592105263157894,7.911764705882353
std,2.8055666902501706,1.4433756729740643,1.5748096670990603,1.9248875380497958,1.8338357107277237,3.8525392695635707
min,2.0,1.75,0.75,0.75,0.5,2.0
5%,3.95,1.75,1.0875,0.75,1.5,3.25
25%,5.25,2.75,1.75,1.0,2.5,5.625
50%,6.25,3.75,2.25,1.25,3.125,7.25
68%,7.5,4.460000000000001,3.24,1.75,3.54,8.5
90%,11.400000000000002,6.050000000000001,4.325000000000001,3.75,5.650000000000002,12.75
95%,12.05,6.525,5.074999999999999,3.7874999999999996,6.2624999999999975,14.75
99%,14.514999999999992,6.904999999999999,8.002500000000005,9.04000000000002,9.167500000000006,19.125
99.7%,15.379500000000009,6.971500000000001,9.400750000000007,11.112000000000023,9.750250000000007,21.48750000000001
max,15.75,7.0,10.0,12.0,10.0,22.5
