Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,5.5,-0.8765020056118361,-0.8765020056118361
2024-10-15,8.5,-0.14914092361184103,-0.14914092361184103
2024-10-16,5.5,-0.8765020056118361,-0.8765020056118361
2024-10-17,15.5,1.5480349343881474,1.5480349343881474
2024-10-18,10.0,0.21453961738815652,0.21453961738815652
2024-10-21,6.0,-0.7552751586118369,-0.7552751586118369
2024-10-22,10.5,0.3357664643881557,0.3357664643881557
2024-10-23,7.5,-0.3915946176118394,-0.3915946176118394
2024-10-24,9.5,0.09331277038815733,0.09331277038815733
2024-10-25,8.0,-0.2703677706118402,-0.2703677706118402
2024-10-28,8.5,-0.14914092361184103,-0.14914092361184103
2024-10-29,9.0,-0.027914076611841847,-0.027914076611841847
2024-11-04,7.0,-0.5128214646118385,-0.5128214646118385
2024-11-05,5.5,-0.8765020056118361,-0.8765020056118361
2024-11-06,12.5,0.8206738523881524,0.8206738523881524
2024-11-07,19.0,2.3966228633881417,2.3966228633881417
2024-11-08,11.5,0.5782201583881541,0.5782201583881541
2024-11-11,10.0,0.21453961738815652,0.21453961738815652
2024-11-12,9.0,-0.027914076611841847,-0.027914076611841847
2024-11-15,18.0,2.1541691693881435,2.1541691693881435
2024-11-18,11.0,0.45699331138815485,0.45699331138815485
2024-11-19,10.5,0.3357664643881557,0.3357664643881557
2024-11-20,6.5,-0.6340483116118377,-0.6340483116118377
2024-11-21,9.0,-0.027914076611841847,-0.027914076611841847
2024-11-22,7.0,-0.5128214646118385,-0.5128214646118385
2024-11-25,17.0,1.9117154753881451,1.9117154753881451
2024-11-26,6.0,-0.7552751586118369,-0.7552751586118369
2024-11-28,4.0,-1.2401825466118337,-1.2401825466118337
2024-11-29,7.5,-0.3915946176118394,-0.3915946176118394
2024-12-02,14.0,1.18435439338815,1.18435439338815
2024-12-03,15.5,1.5480349343881474,1.5480349343881474
2024-12-04,2.0,-1.7250899346118305,-1.7250899346118305
2024-12-05,8.5,-0.14914092361184103,-0.14914092361184103
2024-12-09,6.0,-0.7552751586118369,-0.7552751586118369
2024-12-10,8.0,-0.2703677706118402,-0.2703677706118402
2024-12-13,7.0,-0.5128214646118385,-0.5128214646118385
2024-12-16,3.5,-1.3614093936118328,-1.3614093936118328
2024-12-17,12.0,0.6994470053881532,0.6994470053881532
2024-12-18,8.0,-0.2703677706118402,-0.2703677706118402
2024-12-23,6.0,-0.7552751586118369,-0.7552751586118369
2024-12-24,2.0,-1.7250899346118305,-1.7250899346118305
2024-12-26,5.5,-0.8765020056118361,-0.8765020056118361
2024-12-27,5.5,-0.8765020056118361,-0.8765020056118361
2024-12-30,8.5,-0.14914092361184103,-0.14914092361184103
2024-12-31,7.5,-0.3915946176118394,-0.3915946176118394
2025-01-02,10.5,0.3357664643881557,0.3357664643881557
2025-01-03,7.0,-0.5128214646118385,-0.5128214646118385
2025-01-06,7.5,-0.3915946176118394,-0.3915946176118394
2025-01-07,4.5,-1.1189556996118344,-1.1189556996118344
2025-01-08,8.5,-0.14914092361184103,-0.14914092361184103
2025-01-09,6.5,-0.6340483116118377,-0.6340483116118377
2025-01-13,6.0,-0.7552751586118369,-0.7552751586118369
2025-01-16,8.0,-0.2703677706118402,-0.2703677706118402
2025-01-17,9.0,-0.027914076611841847,-0.027914076611841847
2025-01-20,14.0,1.18435439338815,1.18435439338815
2025-01-21,8.0,-0.2703677706118402,-0.2703677706118402
2025-01-22,6.5,-0.6340483116118377,-0.6340483116118377
2025-01-23,10.5,0.3357664643881557,0.3357664643881557
2025-01-24,3.0,-1.482636240611832,-1.482636240611832
2025-01-27,10.5,0.3357664643881557,0.3357664643881557
2025-01-28,4.5,-1.1189556996118344,-1.1189556996118344
2025-01-29,7.0,-0.5128214646118385,-0.5128214646118385
2025-02-03,11.5,0.5782201583881541,0.5782201583881541
2025-02-04,6.0,-0.7552751586118369,-0.7552751586118369
2025-02-05,5.0,-0.9977288526118353,-0.9977288526118353
2025-02-06,10.5,0.3357664643881557,0.3357664643881557
2025-02-10,7.0,-0.5128214646118385,-0.5128214646118385
2025-02-11,3.0,-1.482636240611832,-1.482636240611832
2025-02-14,15.5,1.5480349343881474,1.5480349343881474
2025-02-17,2.5,-1.6038630876118312,-1.6038630876118312
2025-02-18,5.0,-0.9977288526118353,-0.9977288526118353
2025-02-19,6.0,-0.7552751586118369,-0.7552751586118369
2025-02-20,7.5,-0.3915946176118394,-0.3915946176118394
2025-02-21,5.0,-0.9977288526118353,-0.9977288526118353
2025-02-24,10.5,0.3357664643881557,0.3357664643881557
2025-02-25,11.0,0.45699331138815485,0.45699331138815485
2025-02-26,11.5,0.5782201583881541,0.5782201583881541
2025-03-03,13.0,0.9419006993881516,0.9419006993881516
2025-03-04,10.5,0.3357664643881557,0.3357664643881557
2025-03-05,13.0,0.9419006993881516,0.9419006993881516
2025-03-06,12.5,0.8206738523881524,0.8206738523881524
2025-03-10,6.0,-0.7552751586118369,-0.7552751586118369
2025-03-11,7.0,-0.5128214646118385,-0.5128214646118385
2025-03-14,8.5,-0.14914092361184103,-0.14914092361184103
2025-03-17,15.0,1.4268080873881483,1.4268080873881483
2025-03-18,9.5,0.09331277038815733,0.09331277038815733
2025-03-19,10.5,0.3357664643881557,0.3357664643881557
2025-03-20,9.0,-0.027914076611841847,-0.027914076611841847
2025-03-21,5.5,-0.8765020056118361,-0.8765020056118361
2025-03-24,4.5,-1.1189556996118344,-1.1189556996118344
2025-03-25,7.5,-0.3915946176118394,-0.3915946176118394
2025-03-26,5.5,-0.8765020056118361,-0.8765020056118361
2025-03-31,6.5,-0.6340483116118377,-0.6340483116118377
2025-04-01,8.0,-0.2703677706118402,-0.2703677706118402
2025-04-02,11.0,0.45699331138815485,0.45699331138815485
2025-04-03,16.0,1.6692617813881467,1.6692617813881467
2025-04-04,21.0,2.8815302513881385,2.8815302513881385
2025-04-07,23.5,3.4876644863881343,3.4876644863881343
2025-04-08,19.5,2.5178497103881408,2.5178497103881408
2025-04-09,28.0,4.5787061093881265,4.5787061093881265
2025-04-14,17.5,2.0329423223881444,2.0329423223881444
2025-04-15,10.0,0.21453961738815652,0.21453961738815652
2025-04-16,9.0,-0.027914076611841847,-0.027914076611841847
2025-04-17,7.0,-0.5128214646118385,-0.5128214646118385
2025-04-21,11.5,0.5782201583881541,0.5782201583881541
2025-04-22,10.0,0.21453961738815652,0.21453961738815652
2025-04-23,7.0,-0.5128214646118385,-0.5128214646118385
2025-04-24,9.0,-0.027914076611841847,-0.027914076611841847
2025-04-25,7.5,-0.3915946176118394,-0.3915946176118394
2025-04-28,7.0,-0.5128214646118385,-0.5128214646118385
2025-04-29,8.5,-0.14914092361184103,-0.14914092361184103
2025-05-01,10.0,0.21453961738815652,0.21453961738815652
2025-05-05,12.5,0.8206738523881524,0.8206738523881524
2025-05-06,9.5,0.09331277038815733,0.09331277038815733
2025-05-07,9.0,-0.027914076611841847,-0.027914076611841847
2025-05-08,9.5,0.09331277038815733,0.09331277038815733
2025-05-09,7.5,-0.3915946176118394,-0.3915946176118394
2025-05-12,8.0,-0.2703677706118402,-0.2703677706118402
2025-05-14,9.5,0.09331277038815733,0.09331277038815733
2025-05-16,4.5,-1.1189556996118344,-1.1189556996118344
2025-05-19,9.5,0.09331277038815733,0.09331277038815733
2025-05-20,6.5,-0.6340483116118377,-0.6340483116118377
2025-05-21,7.0,-0.5128214646118385,-0.5128214646118385
2025-05-22,11.0,0.45699331138815485,0.45699331138815485
2025-05-23,16.0,1.6692617813881467,1.6692617813881467
2025-05-26,8.0,-0.2703677706118402,-0.2703677706118402
2025-05-27,5.5,-0.8765020056118361,-0.8765020056118361
2025-05-28,17.5,2.0329423223881444,2.0329423223881444
2025-06-02,11.0,0.45699331138815485,0.45699331138815485
2025-06-03,14.0,1.18435439338815,1.18435439338815
2025-06-04,14.0,1.18435439338815,1.18435439338815
2025-06-05,10.0,0.21453961738815652,0.21453961738815652
2025-06-09,7.5,-0.3915946176118394,-0.3915946176118394
2025-06-10,3.5,-1.3614093936118328,-1.3614093936118328
2025-06-13,13.0,0.9419006993881516,0.9419006993881516
2025-06-16,10.0,0.21453961738815652,0.21453961738815652
2025-06-17,10.5,0.3357664643881557,0.3357664643881557
2025-06-18,7.0,-0.5128214646118385,-0.5128214646118385
2025-06-19,9.0,-0.027914076611841847,-0.027914076611841847
2025-06-20,6.5,-0.6340483116118377,-0.6340483116118377
2025-06-23,14.5,1.305581240388149,1.305581240388149
2025-06-24,7.0,-0.5128214646118385,-0.5128214646118385
2025-06-25,9.0,-0.027914076611841847,-0.027914076611841847
2025-06-30,6.0,-0.7552751586118369,-0.7552751586118369
2025-07-01,7.0,-0.5128214646118385,-0.5128214646118385
2025-07-02,8.0,-0.2703677706118402,-0.2703677706118402
2025-07-04,4.5,-1.1189556996118344,-1.1189556996118344
2025-07-07,7.0,-0.5128214646118385,-0.5128214646118385
2025-07-08,6.0,-0.7552751586118369,-0.7552751586118369
2025-07-09,10.5,0.3357664643881557,0.3357664643881557
2025-07-10,4.5,-1.1189556996118344,-1.1189556996118344
2025-07-11,6.0,-0.7552751586118369,-0.7552751586118369
