date,return,All Data ZScore,This Batch ZScore
2024-12-22,1.75,-1.4298668722926897,-1.4087017805327111
2024-12-23,8.75,-0.18918725612967627,0.9818224530985563
2024-12-24,4.5,-0.9424570230857916,-0.4695672601775704
2024-12-25,3.25,-1.1640069545434726,-0.8964465876117252
2024-12-26,8.0,-0.32211721500428486,0.7256948566380633
2024-12-27,5.75,-0.7209070916281106,-0.04268793274341549
2024-12-29,1.5,-1.474176858584226,-1.4940776460195422
2024-12-30,11.0,0.20960262049414952,1.7502052424800352
2024-12-31,7.75,-0.36642720129582107,0.6403189911512324
2025-01-01,3.25,-1.1640069545434726,-0.8964465876117252
2025-01-02,8.5,-0.23349724242121248,0.8964465876117252
2025-01-03,7.25,-0.45504717387889343,0.4695672601775704
2025-01-05,3.5,-1.1196969682519364,-0.8110707221248943
2025-01-06,7.5,-0.4107371875873573,0.5549431256644014
