Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,2.5,-0.8094909112986254,-0.8094909112986254
2024-10-16,3.0,-0.6522939466725766,-0.6522939466725766
2024-10-17,3.5,-0.4950969820465277,-0.4950969820465277
2024-10-18,3.5,-0.4950969820465277,-0.4950969820465277
2024-10-21,4.5,-0.18070305279443,-0.18070305279443
2024-10-22,3.0,-0.6522939466725766,-0.6522939466725766
2024-10-23,4.0,-0.33790001742047887,-0.33790001742047887
2024-10-24,4.0,-0.33790001742047887,-0.33790001742047887
2024-10-28,4.0,-0.33790001742047887,-0.33790001742047887
2024-10-29,7.0,0.6052817703358143,0.6052817703358143
2024-11-04,7.5,0.7624787349618631,0.7624787349618631
2024-11-05,5.0,-0.02350608816838114,-0.02350608816838114
2024-11-06,5.5,0.13369087645766772,0.13369087645766772
2024-11-07,7.5,0.7624787349618631,0.7624787349618631
2024-11-11,4.5,-0.18070305279443,-0.18070305279443
2024-11-15,5.5,0.13369087645766772,0.13369087645766772
2024-11-18,2.5,-0.8094909112986254,-0.8094909112986254
2024-11-19,4.5,-0.18070305279443,-0.18070305279443
2024-11-20,3.5,-0.4950969820465277,-0.4950969820465277
2024-11-21,4.0,-0.33790001742047887,-0.33790001742047887
2024-11-25,4.0,-0.33790001742047887,-0.33790001742047887
2024-11-26,5.0,-0.02350608816838114,-0.02350608816838114
2024-12-02,5.5,0.13369087645766772,0.13369087645766772
2024-12-03,6.5,0.44808480570976544,0.44808480570976544
2024-12-04,3.0,-0.6522939466725766,-0.6522939466725766
2024-12-05,5.5,0.13369087645766772,0.13369087645766772
2024-12-10,4.0,-0.33790001742047887,-0.33790001742047887
2024-12-13,3.5,-0.4950969820465277,-0.4950969820465277
2024-12-16,3.5,-0.4950969820465277,-0.4950969820465277
2024-12-17,4.0,-0.33790001742047887,-0.33790001742047887
2024-12-18,9.5,1.3912665934660586,1.3912665934660586
2024-12-23,3.5,-0.4950969820465277,-0.4950969820465277
2024-12-26,3.0,-0.6522939466725766,-0.6522939466725766
2024-12-27,4.0,-0.33790001742047887,-0.33790001742047887
2024-12-30,5.0,-0.02350608816838114,-0.02350608816838114
