Volatility of Returns Statistic,"(Session:Asia 18-24 ET, Interval:1h, Symbol:ZN)"
count,423.0
mean,3.379432624113475
std,2.3897371724001686
min,1.0
10%,1.5500000000000007
25%,2.0
50%,2.75
75%,3.75
95%,8.224999999999994
99%,12.639999999999986
max,23.25
skewness,3.8140944909613426
kurtosis,21.726397140756134
