Volatility of Returns Statistic,"(Session:All day, Interval:1h, Symbol:ZN)"
count,15.0
mean,6.6
std,3.146426544510455
min,1.5
10%,3.25
25%,4.375
50%,7.0
75%,8.125
95%,11.674999999999997
99%,12.934999999999999
max,13.25
skewness,0.45649045544050976
kurtosis,0.021396953215133685
