,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,38.0,38.0,48.0,38.0,38.0,50.0
mean,6.855263157894737,3.8815789473684212,2.7447916666666665,1.868421052631579,3.526315789473684,7.755
std,2.4664174005510726,1.4305272630591908,1.5748096670990603,1.9248875380497958,1.8688317221435162,3.723713995242834
min,2.0,1.75,0.75,0.75,0.5,2.0
5%,3.925,1.75,1.0875,0.75,1.425,3.25
25%,5.25,2.75,1.75,1.0,2.5,5.5625
50%,6.125,3.875,2.25,1.25,3.125,7.25
68%,7.5,4.5,3.24,1.75,3.54,8.33
90%,10.550000000000004,6.075000000000001,4.325000000000001,3.75,5.650000000000002,12.075000000000001
95%,12.0,6.5375,5.074999999999999,3.7874999999999996,6.2624999999999975,13.299999999999997
99%,12.315000000000001,6.907500000000001,8.002500000000005,9.04000000000002,9.167500000000006,19.19249999999999
99.7%,12.444500000000001,6.972250000000001,9.400750000000007,11.112000000000023,9.750250000000007,21.50775000000001
max,12.5,7.0,10.0,12.0,10.0,22.5
