Volatility of Returns Statistic,"(Session:US Close 15-17 ET, Interval:1m, Symbol:ZN)"
count,15.0
mean,1.8166666666666667
std,0.6973589633822195
min,1.0
10%,1.25
25%,1.25
50%,1.75
75%,2.125
95%,3.1499999999999995
99%,3.4299999999999997
max,3.5
skewness,1.2780407572941666
kurtosis,1.3137589014719584
