Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,0.5,-0.35447352663652276,-0.35447352663652276
2024-10-14,0.875,0.15754400807703411,0.15754400807703411
2024-10-16,0.5,-0.35447352663652276,-0.35447352663652276
2024-10-17,0.4374992000000475,-0.4398108747261248,-0.4398108747261248
2024-10-20,0.375,-0.5251460382077084,-0.5251460382077084
2024-10-21,0.75,-0.013128503494151511,-0.013128503494151511
2024-10-22,0.9374992000000475,0.24287917155861774,0.24287917155861774
2024-10-23,0.875,0.15754400807703411,0.15754400807703411
2024-10-24,0.5,-0.35447352663652276,-0.35447352663652276
2024-10-27,1.0,0.32821651964821974,0.32821651964821974
2024-10-28,0.5625007999999525,-0.26913617854692073,-0.26913617854692073
2024-10-29,0.4374992000000475,-0.4398108747261248,-0.4398108747261248
2024-11-03,1.1874992000000475,0.584224194700989,0.584224194700989
2024-11-04,0.4375007999999525,-0.43980869011810636,-0.43980869011810636
2024-11-05,4.1874992000000475,4.680364472409444,4.680364472409444
2024-11-06,0.875,0.15754400807703411,0.15754400807703411
2024-11-07,0.5624992000000475,-0.26913836315493916,-0.26913836315493916
2024-11-10,0.75,-0.013128503494151511,-0.013128503494151511
2024-11-11,0.4374992000000475,-0.4398108747261248,-0.4398108747261248
2024-11-17,0.8124992000000475,0.0722066599874321,0.0722066599874321
2024-11-18,0.4374992000000475,-0.4398108747261248,-0.4398108747261248
2024-11-19,0.5,-0.35447352663652276,-0.35447352663652276
2024-11-20,0.4374992000000475,-0.4398108747261248,-0.4398108747261248
2024-11-21,0.4374992000000475,-0.4398108747261248,-0.4398108747261248
2024-11-24,0.875,0.15754400807703411,0.15754400807703411
2024-11-25,0.875,0.15754400807703411,0.15754400807703411
2024-11-26,0.375,-0.5251460382077084,-0.5251460382077084
2024-11-28,0.5,-0.35447352663652276,-0.35447352663652276
2024-12-01,3.875,4.253684285785489,4.253684285785489
2024-12-02,3.6875,3.9976755184287107,3.9976755184287107
2024-12-03,0.6875,-0.09846475927974432,-0.09846475927974432
2024-12-04,0.5625,-0.26913727085093,-0.26913727085093
2024-12-05,0.4375,-0.4398097824221156,-0.4398097824221156
2024-12-10,0.5625,-0.26913727085093,-0.26913727085093
2024-12-15,0.4375,-0.4398097824221156,-0.4398097824221156
2024-12-16,0.5,-0.35447352663652276,-0.35447352663652276
2024-12-17,0.4375,-0.4398097824221156,-0.4398097824221156
2024-12-18,0.9375,0.24288026386262693,0.24288026386262693
2024-12-22,0.4375,-0.4398097824221156,-0.4398097824221156
2024-12-23,0.375,-0.5251460382077084,-0.5251460382077084
2024-12-25,0.75,-0.013128503494151511,-0.013128503494151511
2024-12-26,0.4375,-0.4398097824221156,-0.4398097824221156
2024-12-29,0.375,-0.5251460382077084,-0.5251460382077084
2024-12-30,0.4375,-0.4398097824221156,-0.4398097824221156
2025-01-01,0.8125,0.0722077522914413,0.0722077522914413
2025-01-02,0.4375,-0.4398097824221156,-0.4398097824221156
2025-01-05,0.5625,-0.26913727085093,-0.26913727085093
2025-01-06,0.6875,-0.09846475927974432,-0.09846475927974432
2025-01-07,0.4375,-0.4398097824221156,-0.4398097824221156
2025-01-08,0.6875,-0.09846475927974432,-0.09846475927974432
2025-01-09,0.625,-0.18380101506533714,-0.18380101506533714
2025-01-12,1.0,0.32821651964821974,0.32821651964821974
2025-01-13,0.5625,-0.26913727085093,-0.26913727085093
2025-01-14,0.375,-0.5251460382077084,-0.5251460382077084
2025-01-15,0.4375,-0.4398097824221156,-0.4398097824221156
2025-01-16,0.375,-0.5251460382077084,-0.5251460382077084
2025-01-19,0.6875,-0.09846475927974432,-0.09846475927974432
2025-01-20,1.0625,0.4135527754338126,0.4135527754338126
2025-01-21,0.5625,-0.26913727085093,-0.26913727085093
2025-01-22,0.375,-0.5251460382077084,-0.5251460382077084
2025-01-23,1.0625,0.4135527754338126,0.4135527754338126
2025-01-26,0.6875,-0.09846475927974432,-0.09846475927974432
2025-01-27,0.75,-0.013128503494151511,-0.013128503494151511
2025-01-28,0.5,-0.35447352663652276,-0.35447352663652276
2025-01-29,0.3125,-0.6104822939933012,-0.6104822939933012
