date,return,All Data ZScore,This Batch ZScore
2025-01-03,2.75,-0.33494563828162305,-0.5260379256461185
2025-01-03,1.0,-1.0531173672097875,-1.5781137769383553
2025-01-03,5.0,0.5884180131974457,0.826631026015329
2025-01-03,3.0,-0.23234967700617098,-0.3757413754615132
2025-01-05,3.5,-0.027157754455266813,-0.07514827509230264
2025-01-06,2.75,-0.33494563828162305,-0.5260379256461185
2025-01-06,5.75,0.8962058970238019,1.277520676569145
2025-01-06,3.0,-0.23234967700617098,-0.3757413754615132
2025-01-06,4.5,0.3832260906465415,0.5260379256461185
2025-01-06,6.0,0.9988018582992539,1.4278172267537501
2025-01-07,1.75,-0.7453294833834314,-1.1272241263845395
2025-01-07,3.75,0.07543820682018526,0.07514827509230264
2025-01-07,1.75,-0.7453294833834314,-1.1272241263845395
2025-01-07,6.25,1.101397819574706,1.5781137769383553
