Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:1m, Symbol:ZT)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-11,1.3125007999999525,-0.10363042795430324,-0.10363042795430324
2024-10-15,1.125,-0.2855369667336863,-0.2855369667336863
2024-10-16,0.9375007999999525,-0.4674419532506535,-0.4674419532506535
2024-10-17,2.3125007999999525,0.8665336395026307,0.8665336395026307
2024-10-18,1.3124992000000475,-0.10363198021671903,-0.10363198021671903
2024-10-21,1.0,-0.406807475165803,-0.406807475165803
2024-10-22,1.3125007999999525,-0.10363042795430324,-0.10363042795430324
2024-10-23,0.9375007999999525,-0.4674419532506535,-0.4674419532506535
2024-10-25,1.0624992000000475,-0.3461729970809525,-0.3461729970809525
2024-10-28,0.6874992000000475,-0.7099845223773028,-0.7099845223773028
2024-11-01,5.375,3.8376603199582835,3.8376603199582835
2024-11-04,0.9375007999999525,-0.4674419532506535,-0.4674419532506535
2024-11-05,0.875,-0.5280779835979198,-0.5280779835979198
2024-11-06,1.625,0.19954506699478075,0.19954506699478075
2024-11-08,1.5,0.07827455856266399,0.07827455856266399
2024-11-14,2.4375007999999525,0.9878041479347475,0.9878041479347475
2024-11-15,2.5625007999999525,1.1090746563668643,1.1090746563668643
2024-11-18,1.1874992000000475,-0.22490248864883577,-0.22490248864883577
2024-11-19,1.25,-0.16426645830156952,-0.16426645830156952
2024-11-20,0.6875007999999525,-0.709982970114887,-0.709982970114887
2024-11-22,1.375,-0.04299594986945276,-0.04299594986945276
2024-11-25,1.875,0.44208608385901427,0.44208608385901427
2024-11-27,0.9374992000000475,-0.4674435055130693,-0.4674435055130693
2024-11-28,0.3124992000000475,-1.073796047673653,-1.073796047673653
2024-11-29,4.5625,3.0494020151495245,3.0494020151495245
2024-12-02,4.125,2.624955235637116,2.624955235637116
2024-12-03,1.1875,-0.2249017125176279,-0.2249017125176279
2024-12-04,0.8125,-0.5887132378139781,-0.5887132378139781
2024-12-09,1.9375,0.5027213380750726,0.5027213380750726
2024-12-12,1.75,0.3208155754268975,0.3208155754268975
2024-12-13,0.75,-0.6493484920300365,-0.6493484920300365
2024-12-16,1.125,-0.2855369667336863,-0.2855369667336863
2024-12-17,1.1875,-0.2249017125176279,-0.2249017125176279
2024-12-20,1.25,-0.16426645830156952,-0.16426645830156952
2024-12-23,0.9375,-0.4674427293818614,-0.4674427293818614
2024-12-24,0.25,-1.1344305257585034,-1.1344305257585034
2024-12-26,0.375,-1.0131600173263868,-1.0131600173263868
2024-12-27,0.6875,-0.7099837462460948,-0.7099837462460948
2024-12-30,1.375,-0.04299594986945276,-0.04299594986945276
2024-12-31,0.9375,-0.4674427293818614,-0.4674427293818614
2025-01-02,0.8125,-0.5887132378139781,-0.5887132378139781
2025-01-03,0.625,-0.7706190004621533,-0.7706190004621533
2025-01-06,1.3125,-0.10363120408551113,-0.10363120408551113
2025-01-07,0.625,-0.7706190004621533,-0.7706190004621533
2025-01-08,1.625,0.19954506699478075,0.19954506699478075
2025-01-09,0.6875,-0.7099837462460948,-0.7099837462460948
2025-01-10,3.5,2.018602693476532,2.018602693476532
2025-01-13,1.125,-0.2855369667336863,-0.2855369667336863
2025-01-14,1.5625,0.13890981277872236,0.13890981277872236
2025-01-15,3.1875,1.71542642239624,1.71542642239624
2025-01-16,1.1875,-0.2249017125176279,-0.2249017125176279
2025-01-17,1.5,0.07827455856266399,0.07827455856266399
2025-01-20,1.375,-0.04299594986945276,-0.04299594986945276
2025-01-21,0.6875,-0.7099837462460948,-0.7099837462460948
2025-01-22,0.0625,-1.3163362884066787,-1.3163362884066787
