Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-11-03,2.25,0.20916619315475932,0.20916619315475932
2024-11-04,1.0,-0.555152312971564,-0.555152312971564
2024-11-05,12.0,6.170850540940081,6.170850540940081
2024-11-06,2.5,0.362029894380024,0.362029894380024
2024-11-07,2.0,0.056302491929494644,0.056302491929494644
2024-11-10,0.75,-0.7080160141968287,-0.7080160141968287
2024-11-11,2.75,0.5148935956052886,0.5148935956052886
2024-11-17,1.5,-0.2494249105210347,-0.2494249105210347
2024-11-18,1.5,-0.2494249105210347,-0.2494249105210347
2024-11-19,1.25,-0.4022886117462993,-0.4022886117462993
2024-11-20,1.0,-0.555152312971564,-0.555152312971564
2024-11-21,1.25,-0.4022886117462993,-0.4022886117462993
2024-11-24,2.25,0.20916619315475932,0.20916619315475932
2024-11-25,1.5,-0.2494249105210347,-0.2494249105210347
2024-11-26,1.25,-0.4022886117462993,-0.4022886117462993
2024-12-01,3.75,1.1263484005063473,1.1263484005063473
2024-12-02,0.5,-0.8608797154220933,-0.8608797154220933
2024-12-03,4.0,1.279212101731612,1.279212101731612
2024-12-04,1.25,-0.4022886117462993,-0.4022886117462993
2024-12-05,2.5,0.362029894380024,0.362029894380024
2024-12-08,3.75,1.1263484005063473,1.1263484005063473
2024-12-10,1.0,-0.555152312971564,-0.555152312971564
2024-12-15,1.0,-0.555152312971564,-0.555152312971564
2024-12-16,1.0,-0.555152312971564,-0.555152312971564
2024-12-17,0.75,-0.7080160141968287,-0.7080160141968287
2024-12-18,1.5,-0.2494249105210347,-0.2494249105210347
2024-12-22,1.5,-0.2494249105210347,-0.2494249105210347
2024-12-23,0.75,-0.7080160141968287,-0.7080160141968287
2024-12-25,1.0,-0.555152312971564,-0.555152312971564
2024-12-26,1.75,-0.09656120929577001,-0.09656120929577001
2024-12-29,1.0,-0.555152312971564,-0.555152312971564
2024-12-30,1.5,-0.2494249105210347,-0.2494249105210347
2025-01-01,2.25,0.20916619315475932,0.20916619315475932
2025-01-02,0.75,-0.7080160141968287,-0.7080160141968287
2025-01-05,0.75,-0.7080160141968287,-0.7080160141968287
2025-01-06,1.75,-0.09656120929577001,-0.09656120929577001
2025-01-07,1.0,-0.555152312971564,-0.555152312971564
2025-01-08,1.0,-0.555152312971564,-0.555152312971564
2025-01-09,1.0,-0.555152312971564,-0.555152312971564
2025-01-12,2.5,0.362029894380024,0.362029894380024
2025-01-16,1.0,-0.555152312971564,-0.555152312971564
2025-01-19,1.25,-0.4022886117462993,-0.4022886117462993
2025-01-20,4.5,1.5849395041821415,1.5849395041821415
2025-01-21,1.25,-0.4022886117462993,-0.4022886117462993
2025-01-22,0.75,-0.7080160141968287,-0.7080160141968287
2025-01-23,2.75,0.5148935956052886,0.5148935956052886
2025-01-26,1.25,-0.4022886117462993,-0.4022886117462993
2025-01-27,1.5,-0.2494249105210347,-0.2494249105210347
2025-01-28,0.75,-0.7080160141968287,-0.7080160141968287
2025-01-29,1.25,-0.4022886117462993,-0.4022886117462993
2025-02-02,4.0,1.279212101731612,1.279212101731612
2025-02-03,3.75,1.1263484005063473,1.1263484005063473
2025-02-04,1.75,-0.09656120929577001,-0.09656120929577001
2025-02-05,1.25,-0.4022886117462993,-0.4022886117462993
2025-02-06,0.75,-0.7080160141968287,-0.7080160141968287
2025-02-09,1.25,-0.4022886117462993,-0.4022886117462993
2025-02-11,0.75,-0.7080160141968287,-0.7080160141968287
2025-02-14,0.751953125,-0.7068217665310063,-0.7068217665310063
2025-02-18,2.0,0.056302491929494644,0.056302491929494644
2025-02-19,1.25,-0.4022886117462993,-0.4022886117462993
2025-02-20,1.0,-0.555152312971564,-0.555152312971564
2025-02-24,1.5,-0.2494249105210347,-0.2494249105210347
2025-02-25,1.5,-0.2494249105210347,-0.2494249105210347
2025-02-26,2.5,0.362029894380024,0.362029894380024
2025-03-03,4.75,1.7378032054074062,1.7378032054074062
2025-03-04,7.0,3.113576516434788,3.113576516434788
2025-03-05,3.5,0.9734846992810826,0.9734846992810826
2025-03-06,1.75,-0.09656120929577001,-0.09656120929577001
2025-03-11,2.25,0.20916619315475932,0.20916619315475932
2025-03-17,1.75,-0.09656120929577001,-0.09656120929577001
2025-03-18,1.75,-0.09656120929577001,-0.09656120929577001
2025-03-19,2.25,0.20916619315475932,0.20916619315475932
2025-03-20,1.75,-0.09656120929577001,-0.09656120929577001
2025-03-21,1.25,-0.4022886117462993,-0.4022886117462993
2025-03-24,1.0,-0.555152312971564,-0.555152312971564
2025-03-25,1.5,-0.2494249105210347,-0.2494249105210347
