"(Return Stats:- Interval:1m, Symbol:ZN)",London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,165.0,167.0,166.0,157.0,182.0,211.0
mean,2.0712121212121213,1.970059880239521,2.841867469879518,1.0621019108280254,1.5728021978021978,3.895734597156398
std,1.758430490550048,1.7634599400746755,2.261048993725321,1.066557505540386,1.953142913978924,3.997443326461743
min,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.25,0.25,0.25,0.0,0.012500000000000178,0.25
25%,0.75,0.75,1.0625,0.25,0.5,1.0
50%,1.75,1.5,2.5,0.75,1.25,3.0
68%,2.5,2.25,3.5,1.25,1.75,4.700000000000003
90%,4.25,4.0,5.75,2.25,3.0,8.5
95%,5.199999999999996,5.25,7.0,2.799999999999997,4.0,11.125
99%,8.589999999999996,8.085,8.837499999999999,5.409999999999997,8.687499999999986,16.375000000000007
99.7%,9.385000000000012,9.505000000000024,11.651249999999976,6.782000000000011,15.806499999999971,25.172500000000042
max,10.0,10.75,14.25,7.25,18.25,31.0
