Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,1.875,-0.7165034828350648,-0.7165034828350648
2024-10-15,3.0,-0.12583968732145262,-0.12583968732145262
2024-10-16,2.375,-0.4539862403845705,-0.4539862403845705
2024-10-17,4.5,0.6617120400300304,0.6617120400300304
2024-10-18,2.5,-0.38835692977194697,-0.38835692977194697
2024-10-21,1.875,-0.7165034828350648,-0.7165034828350648
2024-10-22,2.625,-0.32272761915932335,-0.32272761915932335
2024-10-23,2.875,-0.19146899793407618,-0.19146899793407618
2024-10-24,2.375,-0.4539862403845705,-0.4539862403845705
2024-10-25,2.375,-0.4539862403845705,-0.4539862403845705
2024-10-28,1.875,-0.7165034828350648,-0.7165034828350648
2024-10-29,3.0,-0.12583968732145262,-0.12583968732145262
2024-11-04,1.75,-0.7821327934476885,-0.7821327934476885
2024-11-05,2.375,-0.4539862403845705,-0.4539862403845705
2024-11-06,3.875,0.33356548696691246,0.33356548696691246
2024-11-07,6.0,1.4492637673815134,1.4492637673815134
2024-11-08,3.0,-0.12583968732145262,-0.12583968732145262
2024-11-11,2.125,-0.5852448616098177,-0.5852448616098177
2024-11-12,2.625,-0.32272761915932335,-0.32272761915932335
2024-11-15,6.75,1.843039631057255,1.843039631057255
2024-11-18,3.25,0.005418933903794561,0.005418933903794561
2024-11-19,3.125,-0.060210376708829026,-0.060210376708829026
2024-11-20,1.875,-0.7165034828350648,-0.7165034828350648
2024-11-21,2.625,-0.32272761915932335,-0.32272761915932335
2024-11-22,2.0,-0.6508741722224413,-0.6508741722224413
2024-11-25,5.75,1.3180051461562663,1.3180051461562663
2024-11-26,2.5,-0.38835692977194697,-0.38835692977194697
2024-11-28,1.25,-1.0446500358981827,-1.0446500358981827
2024-11-29,6.0,1.4492637673815134,1.4492637673815134
2024-12-02,6.75,1.843039631057255,1.843039631057255
2024-12-03,6.125,1.514893077994137,1.514893077994137
2024-12-04,0.875,-1.2415379677360536,-1.2415379677360536
2024-12-05,2.375,-0.4539862403845705,-0.4539862403845705
2024-12-09,3.875,0.33356548696691246,0.33356548696691246
2024-12-10,3.625,0.20230686574166531,0.20230686574166531
2024-12-13,2.875,-0.19146899793407618,-0.19146899793407618
2024-12-16,2.5,-0.38835692977194697,-0.38835692977194697
2024-12-17,3.5,0.13667755512904173,0.13667755512904173
2024-12-18,3.875,0.33356548696691246,0.33356548696691246
2024-12-23,1.375,-0.9790207252855592,-0.9790207252855592
2024-12-24,0.5,-1.4384258995739243,-1.4384258995739243
2024-12-26,1.125,-1.1102793465108063,-1.1102793465108063
2024-12-27,1.75,-0.7821327934476885,-0.7821327934476885
2024-12-30,2.75,-0.2570983085466998,-0.2570983085466998
