,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,52.0,54.0,54.0,50.0,53.0,70.0
mean,4.168269230769231,5.388888888888889,5.231481481481482,2.225,3.1745283018867925,7.607142857142857
std,1.6199742447164074,2.963881103379242,2.131221111048522,1.0512990021096447,3.005037799607222,4.062815523660416
min,1.75,0.75,1.75,1.0,1.25,1.5
5%,2.0,2.575,2.575,1.25,1.4,1.8625
25%,3.0,3.3125,3.75,1.5,2.0,4.75
50%,3.75,4.5,5.0,2.0,2.5,7.25
68%,4.42,5.76,5.75,2.25,3.25,8.75
90%,5.975,9.200000000000003,7.850000000000001,3.5250000000000004,4.25,11.55
95%,6.837499999999997,12.174999999999997,9.36249999999999,4.524999999999999,4.699999999999999,13.662499999999998
99%,8.975000000000005,14.469999999999999,11.1175,5.25,14.279999999999946,20.835000000000008
99.7%,9.867500000000003,14.841000000000001,11.21025,5.25,20.55900000000002,22.525500000000022
max,10.25,15.0,11.25,5.25,23.25,23.25
