Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:15m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-11-04,4.25,0.028801663037630695,0.028801663037630695
2024-11-05,5.0,0.35226649407563754,0.35226649407563754
2024-11-06,6.75,1.1070177664976535,1.1070177664976535
2024-11-07,5.5,0.5679097147676422,0.5679097147676422
2024-11-08,2.75,-0.618127999038383,-0.618127999038383
2024-11-11,1.25,-1.2650576611143967,-1.2650576611143967
2024-11-12,3.5,-0.2946631680003762,-0.2946631680003762
2024-11-15,6.5,0.9991961561516512,0.9991961561516512
2024-11-18,3.25,-0.40248477834637847,-0.40248477834637847
2024-11-19,2.75,-0.618127999038383,-0.618127999038383
2024-11-20,2.75,-0.618127999038383,-0.618127999038383
2024-11-21,3.25,-0.40248477834637847,-0.40248477834637847
2024-11-22,1.75,-1.0494144404223922,-1.0494144404223922
2024-11-25,4.5,0.13662327338363298,0.13662327338363298
2024-11-26,2.0,-0.9415928300763899,-0.9415928300763899
2024-11-29,5.0,0.35226649407563754,0.35226649407563754
2024-12-02,5.0,0.35226649407563754,0.35226649407563754
2024-12-03,5.75,0.6757313251136444,0.6757313251136444
2024-12-04,3.5,-0.2946631680003762,-0.2946631680003762
2024-12-05,5.25,0.46008810442163983,0.46008810442163983
2024-12-09,3.25,-0.40248477834637847,-0.40248477834637847
2024-12-10,3.75,-0.18684155765437388,-0.18684155765437388
2024-12-13,2.5,-0.7259496093843854,-0.7259496093843854
2024-12-16,1.75,-1.0494144404223922,-1.0494144404223922
2024-12-17,1.75,-1.0494144404223922,-1.0494144404223922
2024-12-18,15.5,4.880774128607734,4.880774128607734
2024-12-23,4.0,-0.0790199473083716,-0.0790199473083716
2024-12-24,3.25,-0.40248477834637847,-0.40248477834637847
2024-12-26,6.0,0.7835529354596468,0.7835529354596468
2024-12-27,2.5,-0.7259496093843854,-0.7259496093843854
2024-12-30,2.25,-0.8337712197303876,-0.8337712197303876
2024-12-31,2.25,-0.8337712197303876,-0.8337712197303876
2025-01-02,4.25,0.028801663037630695,0.028801663037630695
2025-01-03,2.75,-0.618127999038383,-0.618127999038383
2025-01-06,2.5,-0.7259496093843854,-0.7259496093843854
2025-01-07,2.25,-0.8337712197303876,-0.8337712197303876
2025-01-08,3.0,-0.5103063886923808,-0.5103063886923808
2025-01-09,2.5,-0.7259496093843854,-0.7259496093843854
2025-01-13,3.0,-0.5103063886923808,-0.5103063886923808
2025-01-16,3.5,-0.2946631680003762,-0.2946631680003762
2025-01-17,2.75,-0.618127999038383,-0.618127999038383
2025-01-20,2.75,-0.618127999038383,-0.618127999038383
2025-01-21,2.25,-0.8337712197303876,-0.8337712197303876
2025-01-22,2.25,-0.8337712197303876,-0.8337712197303876
2025-01-23,2.5,-0.7259496093843854,-0.7259496093843854
2025-01-24,3.0,-0.5103063886923808,-0.5103063886923808
2025-01-27,3.5,-0.2946631680003762,-0.2946631680003762
2025-01-28,3.25,-0.40248477834637847,-0.40248477834637847
2025-01-29,6.0,0.7835529354596468,0.7835529354596468
2025-02-03,5.0,0.35226649407563754,0.35226649407563754
2025-02-04,3.0,-0.5103063886923808,-0.5103063886923808
2025-02-05,2.25,-0.8337712197303876,-0.8337712197303876
2025-02-06,4.25,0.028801663037630695,0.028801663037630695
2025-02-10,3.75,-0.18684155765437388,-0.18684155765437388
2025-02-11,2.0,-0.9415928300763899,-0.9415928300763899
2025-02-14,8.0,1.646125818227665,1.646125818227665
2025-02-17,1.25,-1.2650576611143967,-1.2650576611143967
2025-02-18,1.75,-1.0494144404223922,-1.0494144404223922
2025-02-19,2.75,-0.618127999038383,-0.618127999038383
2025-02-20,3.5,-0.2946631680003762,-0.2946631680003762
2025-02-21,2.5,-0.7259496093843854,-0.7259496093843854
2025-02-24,5.0,0.35226649407563754,0.35226649407563754
2025-02-25,5.0,0.35226649407563754,0.35226649407563754
2025-02-26,4.0,-0.0790199473083716,-0.0790199473083716
2025-03-03,3.5,-0.2946631680003762,-0.2946631680003762
2025-03-04,4.5,0.13662327338363298,0.13662327338363298
2025-03-05,6.0,0.7835529354596468,0.7835529354596468
2025-03-06,6.5,0.9991961561516512,0.9991961561516512
2025-03-10,4.0,-0.0790199473083716,-0.0790199473083716
2025-03-11,3.75,-0.18684155765437388,-0.18684155765437388
2025-03-14,3.25,-0.40248477834637847,-0.40248477834637847
2025-03-17,6.75,1.1070177664976535,1.1070177664976535
2025-03-18,3.75,-0.18684155765437388,-0.18684155765437388
2025-03-19,4.5,0.13662327338363298,0.13662327338363298
2025-03-20,4.25,0.028801663037630695,0.028801663037630695
2025-03-21,2.5,-0.7259496093843854,-0.7259496093843854
2025-03-24,2.0,-0.9415928300763899,-0.9415928300763899
2025-03-25,4.25,0.028801663037630695,0.028801663037630695
2025-03-26,2.5,-0.7259496093843854,-0.7259496093843854
2025-03-31,4.0,-0.0790199473083716,-0.0790199473083716
2025-04-01,5.0,0.35226649407563754,0.35226649407563754
2025-04-02,4.25,0.028801663037630695,0.028801663037630695
2025-04-03,10.5,2.724341921687688,2.724341921687688
2025-04-04,11.75,3.2634499734176994,3.2634499734176994
2025-04-07,10.75,2.83216353203369,2.83216353203369
2025-04-08,13.25,3.910379635493713,3.910379635493713
2025-04-09,13.75,4.126022856185718,4.126022856185718
2025-04-14,6.5,0.9991961561516512,0.9991961561516512
2025-04-15,6.75,1.1070177664976535,1.1070177664976535
2025-04-16,4.5,0.13662327338363298,0.13662327338363298
2025-04-17,4.5,0.13662327338363298,0.13662327338363298
2025-04-21,6.25,0.891374545805649,0.891374545805649
2025-04-22,3.5,-0.2946631680003762,-0.2946631680003762
2025-04-23,3.5,-0.2946631680003762,-0.2946631680003762
2025-04-24,5.0,0.35226649407563754,0.35226649407563754
2025-04-25,2.75,-0.618127999038383,-0.618127999038383
2025-04-28,3.25,-0.40248477834637847,-0.40248477834637847
2025-04-29,4.5,0.13662327338363298,0.13662327338363298
2025-05-01,3.75,-0.18684155765437388,-0.18684155765437388
2025-05-05,4.5,0.13662327338363298,0.13662327338363298
2025-05-06,3.25,-0.40248477834637847,-0.40248477834637847
2025-05-07,4.75,0.24444488372963527,0.24444488372963527
