Volatility of Returns Statistic,"(Session:All day, Interval:1m, Symbol:ZT)"
count,72.0
mean,1.8697916333333353
std,1.103857953902804
min,0.375
10%,0.75
25%,1.1718744000000356
50%,1.6562496000000237
75%,2.3125007999999525
95%,4.412499640000023
99%,4.9131250000000035
max,5.3125
skewness,1.2217617072656781
kurtosis,1.3941896867998667
