date,return,All Data ZScore,This Batch ZScore
2025-01-06,2.5,-1.912965429247193,-0.36475863350935755
2025-01-06,7.5,0.24785930810844015,1.8082715235676659
2025-01-06,0.75,-2.6692540873216646,-1.1253191884863158
2025-01-06,1.75,-2.237089139850538,-0.6907131570709111
2025-01-06,3.5,-1.4808004817760663,0.06984739790604713
2025-01-06,3.0,-1.6968829555116296,-0.14745561780165523
2025-01-07,2.25,-2.0210066661149746,-0.47341014136320875
2025-01-07,8.0,0.4639417818440034,2.025574539275368
2025-01-07,1.5,-2.3451303767183194,-0.7993646649247622
2025-01-07,1.0,-2.5612128504538827,-1.0166676806324646
2025-01-07,2.25,-2.0210066661149746,-0.47341014136320875
2025-01-07,3.25,-1.588841718643848,-0.03880410994780405
2025-01-08,6.25,-0.2923468762304681,1.26501398429841
2025-01-08,3.25,-1.588841718643848,-0.03880410994780405
