Volatility of Returns Statistic,"(Session:London 0-7 ET, Interval:15m, Symbol:ZN)"
count,147.0
mean,4.996639329559951
std,2.5529991089756985
min,1.75
10%,2.75
25%,3.25
50%,4.5
75%,5.75
95%,10.099999999999994
99%,15.269999999999996
max,16.0
skewness,1.9356847439737332
kurtosis,5.069199806797775
