Date,"Volatility of Returns (Session:All day, Interval:1d, Symbol:ZN)",All Data ZScore,Current Data (Latest 2 weeks) ZScore
2024-12-29,10.75,0.08053503890640352,0.6847758666854156
2024-12-30,7.75,-0.43943155958398744,-0.07608620740949082
2025-01-01,9.5,-0.13611771046459273,0.36775000247920453
2025-01-02,7.25,-0.5260926593323859,-0.2028965530919752
2025-01-04,3.5,-1.1760509074453747,-1.153974145710608
2025-01-05,7.5,-0.4827621094581867,-0.13949138025073302
2025-01-06,9.25,-0.17944826033879197,0.30434482963796233
2025-01-07,7.0,-0.5694232092065852,-0.2663017259332174
2025-01-08,4.5,-1.0027287079485776,-0.9003534543456394
2025-01-09,14.75,0.7738238368935915,1.6992586321452907
2025-01-11,3.5,-1.1760509074453747,-1.153974145710608
2025-01-12,4.75,-0.9593981580743784,-0.8369482815043972
2025-01-13,5.75,-0.7860759585775815,-0.5833275901394284
2025-01-14,17.5,1.2504598855097833,2.3967155333989547
2025-01-15,7.5,-0.4827621094581867,-0.13949138025073302
