Date,"Volatility of Returns (Session:All day, Interval:1h, Symbol:ZN)",All Data ZScore,Current Data (Latest 2 weeks) ZScore
2024-12-31,7.75,-0.3588396695327671,0.008833352590588735
2025-01-01,3.25,-1.1690958577474435,-1.1836692471388948
2025-01-02,8.5,-0.22379697149698768,0.207583785878836
2025-01-03,7.25,-0.44886813488995336,-0.12366693626824277
2025-01-05,3.5,-1.1240816250688503,-1.117419102709479
2025-01-06,7.5,-0.40385390221136025,-0.05741679183882702
2025-01-07,9.25,-0.08875427346120829,0.40633421916708323
2025-01-08,7.25,-0.44886813488995336,-0.12366693626824277
2025-01-09,4.75,-0.8990104616758847,-0.7861683805624003
2025-01-10,13.25,0.6314734493962818,1.4663365300377353
2025-01-12,4.25,-0.989038927033071,-0.9186686694212318
2025-01-13,5.0,-0.8539962289972916,-0.7199182361329846
2025-01-14,5.75,-0.7189535309615122,-0.5211678028447373
2025-01-15,16.5,1.2166584742179927,2.3275884076201403
2025-01-16,12.0,0.4064022860033162,1.1350858078906565
