Date,"Volatility of Returns (Session:US Open 7-10 ET, Interval:1m, Symbol:ZN)",All Data ZScore,Current data (Latest 2 weeks) ZScore
2024-12-27,2.75,-0.8584192553214949,-0.645895253719701
2024-12-30,5.5,0.02870510248686527,0.12637081051037635
2024-12-31,3.0,-0.7777715864298258,-0.575689247880603
2025-01-02,4.25,-0.37453324197148025,-0.22465921868511338
2025-01-03,3.0,-0.7777715864298258,-0.575689247880603
2025-01-06,6.0,0.19000044027020346,0.26678282218857224
2025-01-07,2.25,-1.019714593104833,-0.7863072653978969
2025-01-08,5.5,0.02870510248686527,0.12637081051037635
2025-01-09,2.75,-0.8584192553214949,-0.645895253719701
2025-01-10,12.5,2.2868398314536003,2.0921389740051186
2025-01-13,4.0,-0.4551809108631493,-0.2948652245242113
2025-01-14,5.25,-0.05194256640480383,0.05616480467127841
2025-01-15,13.5,2.609430507020276,2.37296299736151
2025-01-16,5.0,-0.13259023529647293,-0.01404120116781954
2025-01-17,0.5,-1.5842482753465168,-1.2777493062715826
