Date,"Volatility of Returns (Session:London 0-7 ET, Interval:1m, Symbol:ZN)",All Data ZScore,Current data (Latest 2 weeks) ZScore
2024-12-27,4.5,0.2808131931670097,0.7348178447460738
2024-12-30,3.5,-0.3407927101541374,-0.03867462340768795
2024-12-31,2.5,-0.9623986134752845,-0.8121670915614497
2025-01-02,6.5,1.5240249998093038,2.2818027810535977
2025-01-03,2.75,-0.8069971376449978,-0.6187939745230093
2025-01-06,5.75,1.0578205723184435,1.7016834299382761
2025-01-07,3.75,-0.18539123432385063,0.1546984936307525
2025-01-08,4.0,-0.029989758493563865,0.34807161066919295
2025-01-09,2.75,-0.8069971376449978,-0.6187939745230093
2025-01-10,2.5,-0.9623986134752845,-0.8121670915614497
2025-01-13,2.25,-1.1178000893055713,-1.0055402085998901
2025-01-14,4.5,0.2808131931670097,0.7348178447460738
2025-01-15,2.25,-1.1178000893055713,-1.0055402085998901
2025-01-16,2.75,-0.8069971376449978,-0.6187939745230093
2025-01-17,3.0,-0.651595661814711,-0.42542085748456887
