Date,"Volatility of Returns (Session:US Close 15-17 ET, Interval:1m, Symbol:ZF)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-14,0.625,-0.7648286841754567,-0.7648286841754567
2024-10-16,0.75,-0.6808316754547548,-0.6808316754547548
2024-10-17,1.0,-0.512837658013351,-0.512837658013351
2024-10-18,0.75,-0.6808316754547548,-0.6808316754547548
2024-10-21,1.0,-0.512837658013351,-0.512837658013351
2024-10-22,0.875,-0.5968346667340529,-0.5968346667340529
2024-10-23,1.125,-0.4288406492926492,-0.4288406492926492
2024-10-24,1.25,-0.34484364057194733,-0.34484364057194733
2024-10-28,1.375,-0.26084663185124546,-0.26084663185124546
2024-10-29,2.125,0.24313542047296577,0.24313542047296577
2024-11-04,2.0,0.1591384117522639,0.1591384117522639
2024-11-05,1.875,0.07514140303156204,0.07514140303156204
2024-11-06,1.5,-0.1768496231305436,-0.1768496231305436
2024-11-07,2.5,0.4951264466350714,0.4951264466350714
2024-11-11,1.375,-0.26084663185124546,-0.26084663185124546
2024-11-15,1.25,-0.34484364057194733,-0.34484364057194733
2024-11-18,1.0,-0.512837658013351,-0.512837658013351
2024-11-19,1.25,-0.34484364057194733,-0.34484364057194733
2024-11-20,0.875,-0.5968346667340529,-0.5968346667340529
2024-11-21,1.0,-0.512837658013351,-0.512837658013351
2024-11-25,0.875,-0.5968346667340529,-0.5968346667340529
2024-11-26,1.25,-0.34484364057194733,-0.34484364057194733
2024-12-02,3.875,1.419093542562792,1.419093542562792
2024-12-03,3.875,1.419093542562792,1.419093542562792
2024-12-04,1.0,-0.512837658013351,-0.512837658013351
2024-12-05,3.625,1.2510995251213883,1.2510995251213883
2024-12-10,0.875,-0.5968346667340529,-0.5968346667340529
2024-12-13,2.75,0.6631204640764752,0.6631204640764752
2024-12-16,1.0,-0.512837658013351,-0.512837658013351
2024-12-17,1.25,-0.34484364057194733,-0.34484364057194733
2024-12-18,2.875,0.747117472797177,0.747117472797177
