Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:15m, Symbol:ZN)",All Data ZScore,Current data (Latest 2 weeks) ZScore
2025-01-07,1.0,-1.0892079112244244,-0.917382358802273
2025-01-07,2.25,-0.31120226034983556,-0.143686393547344
2025-01-07,3.25,0.31120226034983556,0.4752703786565992
2025-01-08,2.75,0.0,0.16579199255462762
2025-01-08,6.25,2.178415822448849,2.332140695268429
2025-01-08,1.0,-1.0892079112244244,-0.917382358802273
2025-01-08,1.0,-1.0892079112244244,-0.917382358802273
2025-01-08,3.5,0.46680339052475334,0.6300095717075851
2025-01-08,4.25,0.9336067810495067,1.0942271508605426
2025-01-09,2.0,-0.46680339052475334,-0.2984255865983298
2025-01-09,4.0,0.778005650874589,0.9394879578095566
2025-01-09,0.75,-1.2448090413993422,-1.072121551853259
2025-01-09,1.0,-1.0892079112244244,-0.917382358802273
2025-01-09,1.75,-0.6224045206996711,-0.4531647796493156
