Date,"Volatility of Returns (Session:All day, Interval:1m, Symbol:ZB)",ZScore wrt All Days,ZScore wrt Given Days
2024-10-13,4.0,-1.0653285246214104,-1.0653285246214104
2024-10-14,14.5,-0.23946040496621365,-0.23946040496621365
2024-10-15,17.0,-0.042825138381642994,-0.042825138381642994
2024-10-16,10.0,-0.5934038848184409,-0.5934038848184409
2024-10-17,20.0,0.1931371815198418,0.1931371815198418
2024-10-18,15.0,-0.20013335164929952,-0.20013335164929952
2024-10-20,4.5,-1.0260014713044963,-1.0260014713044963
2024-10-21,32.0,1.136986461125781,1.136986461125781
2024-10-22,13.5,-0.3181145116000419,-0.3181145116000419
2024-10-23,9.0,-0.6720579914522691,-0.6720579914522691
2024-10-24,15.0,-0.20013335164929952,-0.20013335164929952
2024-10-25,18.0,0.03582896825218527,0.03582896825218527
2024-10-27,19.0,0.11448307488601353,0.11448307488601353
2024-10-28,16.0,-0.12147924501547126,-0.12147924501547126
2024-10-29,22.0,0.3504453947874983,0.3504453947874983
2024-11-03,8.0,-0.7507120980860974,-0.7507120980860974
2024-11-04,15.0,-0.20013335164929952,-0.20013335164929952
2024-11-05,50.0,2.5527603805346892,2.5527603805346892
2024-11-06,27.0,0.7437159279566397,0.7437159279566397
2024-11-07,29.0,0.9010241412242962,0.9010241412242962
2024-11-08,20.0,0.1931371815198418,0.1931371815198418
2024-11-10,8.5,-0.7113850447691832,-0.7113850447691832
2024-11-11,15.0,-0.20013335164929952,-0.20013335164929952
2024-11-12,30.5,1.0190053011750386,1.0190053011750386
2024-11-15,21.0,0.27179128815367004,0.27179128815367004
2024-11-17,4.5,-1.0260014713044963,-1.0260014713044963
2024-11-18,21.5,0.3111183414705842,0.3111183414705842
2024-11-19,17.0,-0.042825138381642994,-0.042825138381642994
2024-11-20,13.0,-0.35744156491695606,-0.35744156491695606
2024-11-21,14.5,-0.23946040496621365,-0.23946040496621365
2024-11-22,12.5,-0.39676861823387016,-0.39676861823387016
2024-11-24,9.5,-0.632730938135355,-0.632730938135355
2024-11-25,24.0,0.5077536080551549,0.5077536080551549
2024-11-26,10.5,-0.5540768315015268,-0.5540768315015268
2024-11-28,7.5,-0.7900391514030115,-0.7900391514030115
2024-11-29,13.0,-0.35744156491695606,-0.35744156491695606
2024-12-01,9.0,-0.6720579914522691,-0.6720579914522691
2024-12-02,19.5,0.15381012820292767,0.15381012820292767
2024-12-03,20.0,0.1931371815198418,0.1931371815198418
2024-12-04,21.5,0.3111183414705842,0.3111183414705842
2024-12-05,15.5,-0.16080629833238538,-0.16080629833238538
2024-12-08,5.0,-0.9866744179875822,-0.9866744179875822
2024-12-09,17.0,-0.042825138381642994,-0.042825138381642994
2024-12-10,15.5,-0.16080629833238538,-0.16080629833238538
2024-12-13,22.0,0.3504453947874983,0.3504453947874983
2024-12-15,2.5,-1.183309684572153,-1.183309684572153
2024-12-16,12.0,-0.4360956715507843,-0.4360956715507843
2024-12-17,16.0,-0.12147924501547126,-0.12147924501547126
2024-12-18,28.5,0.8616970879073821,0.8616970879073821
2024-12-22,4.0,-1.0653285246214104,-1.0653285246214104
2024-12-23,16.5,-0.08215219169855713,-0.08215219169855713
2024-12-24,12.0,-0.4360956715507843,-0.4360956715507843
2024-12-25,6.5,-0.8686932580368397,-0.8686932580368397
2024-12-26,15.5,-0.16080629833238538,-0.16080629833238538
2024-12-27,15.0,-0.20013335164929952,-0.20013335164929952
2024-12-29,3.0,-1.1439826312552386,-1.1439826312552386
2024-12-30,21.5,0.3111183414705842,0.3111183414705842
2024-12-31,18.0,0.03582896825218527,0.03582896825218527
2025-01-01,7.5,-0.7900391514030115,-0.7900391514030115
2025-01-02,18.0,0.03582896825218527,0.03582896825218527
2025-01-03,14.5,-0.23946040496621365,-0.23946040496621365
2025-01-05,7.5,-0.7900391514030115,-0.7900391514030115
2025-01-06,15.0,-0.20013335164929952,-0.20013335164929952
2025-01-07,20.0,0.1931371815198418,0.1931371815198418
2025-01-08,15.5,-0.16080629833238538,-0.16080629833238538
2025-01-09,12.0,-0.4360956715507843,-0.4360956715507843
2025-01-12,7.5,-0.7900391514030115,-0.7900391514030115
2025-01-13,11.0,-0.5147497781846125,-0.5147497781846125
2025-01-16,19.5,0.15381012820292767,0.15381012820292767
2025-01-17,12.5,-0.39676861823387016,-0.39676861823387016
2025-01-19,3.0,-1.1439826312552386,-1.1439826312552386
2025-01-20,25.5,0.6257347680058972,0.6257347680058972
2025-01-21,11.0,-0.5147497781846125,-0.5147497781846125
2025-01-22,12.0,-0.4360956715507843,-0.4360956715507843
2025-01-23,15.5,-0.16080629833238538,-0.16080629833238538
2025-01-24,8.5,-0.7113850447691832,-0.7113850447691832
2025-01-26,10.5,-0.5540768315015268,-0.5540768315015268
2025-01-27,18.0,0.03582896825218527,0.03582896825218527
2025-01-28,11.5,-0.47542272486769843,-0.47542272486769843
2025-01-29,17.0,-0.042825138381642994,-0.042825138381642994
2025-02-02,17.5,-0.003498085064728865,-0.003498085064728865
2025-02-03,18.5,0.0751560215690994,0.0751560215690994
2025-02-04,20.5,0.23246423483675593,0.23246423483675593
2025-02-05,26.5,0.7043888746397255,0.7043888746397255
2025-02-06,11.0,-0.5147497781846125,-0.5147497781846125
2025-02-09,4.5,-1.0260014713044963,-1.0260014713044963
2025-02-10,11.0,-0.5147497781846125,-0.5147497781846125
2025-02-11,14.5,-0.23946040496621365,-0.23946040496621365
2025-02-14,21.5,0.3111183414705842,0.3111183414705842
2025-02-16,5.5,-0.947347364670668,-0.947347364670668
