Volatility of Returns Statistic,"(Session:US Mid 10-15 ET, Interval:15m, Symbol:ZN)"
count,15.0
mean,2.55
std,0.9315885051121782
min,1.0
10%,1.4500000000000002
25%,2.125
50%,2.25
75%,3.25
95%,3.799999999999999
99%,4.359999999999999
max,4.5
skewness,0.34443205783256053
kurtosis,0.03980396984512158
