Date,"Volatility of Returns (Session:US Mid 10-15 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2022-12-20,4.25,-0.3151957702072304,-0.3151957702072304
2022-12-21,4.0,-0.4027017782343758,-0.4027017782343758
2022-12-27,7.75,0.9098883421728059,0.9098883421728059
2022-12-28,5.0,-0.05267774612579403,-0.05267774612579403
2022-12-29,4.75,-0.1401837541529395,-0.1401837541529395
2022-12-30,9.25,1.4349243903356785,1.4349243903356785
2023-01-03,4.25,-0.3151957702072304,-0.3151957702072304
2023-01-04,4.0,-0.4027017782343758,-0.4027017782343758
2023-01-05,6.75,0.5598643100642241,0.5598643100642241
2023-01-10,6.0,0.2973462859827878,0.2973462859827878
2023-01-11,4.25,-0.3151957702072304,-0.3151957702072304
2023-01-17,5.5,0.12233426992849687,0.12233426992849687
2023-01-19,5.5,0.12233426992849687,0.12233426992849687
2023-01-20,6.0,0.2973462859827878,0.2973462859827878
2023-01-23,5.5,0.12233426992849687,0.12233426992849687
2023-01-24,3.5,-0.5777137942886668,-0.5777137942886668
2023-01-25,7.75,0.9098883421728059,0.9098883421728059
2023-01-30,4.25,-0.3151957702072304,-0.3151957702072304
2023-01-31,3.0,-0.7527258103429576,-0.7527258103429576
2023-02-01,16.0,3.797586607068606,3.797586607068606
2023-02-02,7.25,0.734876326118515,0.734876326118515
2023-02-06,4.75,-0.1401837541529395,-0.1401837541529395
2023-02-07,8.75,1.2599123742813878,1.2599123742813878
2023-02-08,3.25,-0.6652198023158121,-0.6652198023158121
2023-02-09,10.5,1.872454430471406,1.872454430471406
2023-02-15,6.5,0.4723583020370787,0.4723583020370787
2023-02-17,6.25,0.3848522940099332,0.3848522940099332
2023-02-21,5.25,0.034828261901351416,0.034828261901351416
2023-02-22,2.75,-0.8402318183701031,-0.8402318183701031
2023-02-27,10.5,1.872454430471406,1.872454430471406
2023-02-28,11.75,2.3099844706071333,2.3099844706071333
2023-03-01,11.0,2.047466446525697,2.047466446525697
2023-03-02,10.5,1.872454430471406,1.872454430471406
2023-03-03,8.75,1.2599123742813878,1.2599123742813878
2023-03-06,12.25,2.484996486661424,2.484996486661424
2023-03-07,8.0,0.9973943501999514,0.9973943501999514
2023-03-08,6.25,0.3848522940099332,0.3848522940099332
2023-03-09,10.75,1.9599604384985514,1.9599604384985514
2023-03-16,30.0,8.69792305658875,8.69792305658875
2023-03-20,10.25,1.7849484224442604,1.7849484224442604
2023-03-21,9.5,1.522430398362824,1.522430398362824
2023-03-22,11.25,2.1349724545528423,2.1349724545528423
2023-03-23,13.75,3.0100325348242967,3.0100325348242967
2023-03-24,7.75,0.9098883421728059,0.9098883421728059
2023-03-27,7.75,0.9098883421728059,0.9098883421728059
2023-03-28,5.5,0.12233426992849687,0.12233426992849687
2023-03-29,6.0,0.2973462859827878,0.2973462859827878
2023-04-03,4.75,-0.1401837541529395,-0.1401837541529395
2023-04-04,4.75,-0.1401837541529395,-0.1401837541529395
2023-04-05,5.75,0.2098402779556423,0.2098402779556423
2023-04-06,4.25,-0.3151957702072304,-0.3151957702072304
2023-04-11,4.25,-0.3151957702072304,-0.3151957702072304
2023-04-17,4.5,-0.22768976218008494,-0.22768976218008494
2023-04-18,5.75,0.2098402779556423,0.2098402779556423
2023-04-19,4.0,-0.4027017782343758,-0.4027017782343758
2023-04-20,3.75,-0.4902077862615213,-0.4902077862615213
2023-04-21,3.5,-0.5777137942886668,-0.5777137942886668
2023-04-24,5.0,-0.05267774612579403,-0.05267774612579403
2023-04-25,7.5,0.8223823341456604,0.8223823341456604
2023-04-26,10.25,1.7849484224442604,1.7849484224442604
2023-05-01,4.25,-0.3151957702072304,-0.3151957702072304
2023-05-02,3.5,-0.5777137942886668,-0.5777137942886668
2023-05-03,7.5,0.8223823341456604,0.8223823341456604
2023-05-04,12.5,2.5725024946885693,2.5725024946885693
2023-05-09,2.75,-0.8402318183701031,-0.8402318183701031
2023-05-15,2.25,-1.015243834424394,-1.015243834424394
2023-05-16,4.25,-0.3151957702072304,-0.3151957702072304
2023-05-17,6.75,0.5598643100642241,0.5598643100642241
2023-05-18,4.0,-0.4027017782343758,-0.4027017782343758
2023-05-19,8.25,1.0849003582270969,1.0849003582270969
2023-05-22,7.25,0.734876326118515,0.734876326118515
2023-05-23,6.5,0.4723583020370787,0.4723583020370787
2023-05-24,4.5,-0.22768976218008494,-0.22768976218008494
2023-05-30,3.5,-0.5777137942886668,-0.5777137942886668
2023-05-31,1.75,-1.1902558504786849,-1.1902558504786849
2023-06-01,2.5,-0.9277378263972486,-0.9277378263972486
2023-06-05,3.75,-0.4902077862615213,-0.4902077862615213
2023-06-06,4.5,-0.22768976218008494,-0.22768976218008494
2023-06-07,11.25,2.1349724545528423,2.1349724545528423
2023-06-08,4.5,-0.22768976218008494,-0.22768976218008494
2023-06-09,3.75,-0.4902077862615213,-0.4902077862615213
2023-06-15,6.0,0.2973462859827878,0.2973462859827878
2023-06-20,3.75,-0.4902077862615213,-0.4902077862615213
2023-06-21,8.75,1.2599123742813878,1.2599123742813878
2023-06-22,2.75,-0.8402318183701031,-0.8402318183701031
2023-06-23,2.75,-0.8402318183701031,-0.8402318183701031
2023-06-26,4.0,-0.4027017782343758,-0.4027017782343758
2023-06-27,3.5,-0.5777137942886668,-0.5777137942886668
2023-06-28,7.0,0.6473703180913696,0.6473703180913696
2023-07-03,10.0,1.697442414417115,1.697442414417115
2023-07-05,9.25,1.4349243903356785,1.4349243903356785
2023-07-06,6.25,0.3848522940099332,0.3848522940099332
