Volatility of Returns Statistic,"(Session:US Close 15-17 ET, Interval:15m, Symbol:ZN)"
count,15.0
mean,1.2666666666666666
std,0.5547414670259428
min,0.75
10%,0.75
25%,1.0
50%,1.0
75%,1.625
95%,2.3249999999999997
99%,2.465
max,2.5
skewness,1.2160655617968832
kurtosis,0.41975741037430936
