,All day
count,5342.0
mean,10.284704461877867
std,5.7695179864536295
min,0.0
5%,4.0
25%,6.5
50%,9.0
68%,11.25
90%,17.25
95%,21.0
99%,29.545000000000073
99.7%,39.48849999999993
max,74.5
