Volatility of Returns Statistic,"(Session:US Mid 10-15 ET, Interval:1m, Symbol:ZN)"
count,167.0
mean,5.187125748502994
std,2.779106448620987
min,1.0
10%,2.5
25%,3.25
50%,4.5
75%,6.25
95%,10.25
99%,15.585
max,17.25
skewness,1.7027568792714176
kurtosis,4.012969994741821
