Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1h, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2022-12-20,3.75,0.11908556101462564,0.11908556101462564
2022-12-21,2.5,-0.3925412937148771,-0.3925412937148771
2022-12-27,2.5,-0.3925412937148771,-0.3925412937148771
2022-12-28,3.25,-0.08556518087717548,-0.08556518087717548
2022-12-29,1.5,-0.8018427774984793,-0.8018427774984793
2023-01-03,4.25,0.32373630290642674,0.32373630290642674
2023-01-04,4.0,0.2214109319605262,0.2214109319605262
2023-01-05,2.5,-0.3925412937148771,-0.3925412937148771
2023-01-08,2.75,-0.29021592276897656,-0.29021592276897656
2023-01-10,4.25,0.32373630290642674,0.32373630290642674
2023-01-11,5.5,0.8353631576359295,0.8353631576359295
2023-01-15,3.0,-0.18789055182307604,-0.18789055182307604
2023-01-17,10.0,2.67721983466214,2.67721983466214
2023-01-19,4.25,0.32373630290642674,0.32373630290642674
2023-01-22,3.0,-0.18789055182307604,-0.18789055182307604
2023-01-23,2.0,-0.5971920356066782,-0.5971920356066782
2023-01-24,3.25,-0.08556518087717548,-0.08556518087717548
2023-01-25,1.5,-0.8018427774984793,-0.8018427774984793
2023-01-29,3.75,0.11908556101462564,0.11908556101462564
2023-01-30,2.5,-0.3925412937148771,-0.3925412937148771
2023-01-31,2.5,-0.3925412937148771,-0.3925412937148771
2023-02-01,3.0,-0.18789055182307604,-0.18789055182307604
2023-02-02,3.75,0.11908556101462564,0.11908556101462564
2023-02-05,4.25,0.32373630290642674,0.32373630290642674
2023-02-06,4.75,0.5283870447982278,0.5283870447982278
2023-02-07,4.25,0.32373630290642674,0.32373630290642674
2023-02-08,3.0,-0.18789055182307604,-0.18789055182307604
2023-02-09,2.75,-0.29021592276897656,-0.29021592276897656
2023-02-12,2.75,-0.29021592276897656,-0.29021592276897656
2023-02-15,5.75,0.93768852858183,0.93768852858183
2023-02-19,3.25,-0.08556518087717548,-0.08556518087717548
2023-02-21,4.0,0.2214109319605262,0.2214109319605262
2023-02-22,1.5,-0.8018427774984793,-0.8018427774984793
2023-02-26,3.0,-0.18789055182307604,-0.18789055182307604
2023-02-27,9.5,2.4725690927703385,2.4725690927703385
2023-02-28,10.25,2.77954520560804,2.77954520560804
2023-03-01,12.0,3.4958228022293443,3.4958228022293443
2023-03-02,9.0,2.2679183508785377,2.2679183508785377
2023-03-05,10.5,2.8818705765539407,2.8818705765539407
2023-03-06,3.0,-0.18789055182307604,-0.18789055182307604
2023-03-07,5.5,0.8353631576359295,0.8353631576359295
2023-03-08,3.0,-0.18789055182307604,-0.18789055182307604
2023-03-09,12.25,3.598148173175245,3.598148173175245
2023-03-12,21.5,7.3841868981735646,7.3841868981735646
2023-03-16,4.75,0.5283870447982278,0.5283870447982278
2023-03-19,13.75,4.212100398850648,4.212100398850648
2023-03-20,8.5,2.0632676089867363,2.0632676089867363
2023-03-21,4.25,0.32373630290642674,0.32373630290642674
2023-03-22,5.5,0.8353631576359295,0.8353631576359295
2023-03-23,9.0,2.2679183508785377,2.2679183508785377
2023-03-26,5.0,0.6307124157441284,0.6307124157441284
2023-03-27,5.0,0.6307124157441284,0.6307124157441284
2023-03-28,2.75,-0.29021592276897656,-0.29021592276897656
2023-03-29,2.75,-0.29021592276897656,-0.29021592276897656
2023-04-02,6.5,1.2446646414195317,1.2446646414195317
2023-04-03,3.75,0.11908556101462564,0.11908556101462564
2023-04-04,2.5,-0.3925412937148771,-0.3925412937148771
2023-04-05,3.0,-0.18789055182307604,-0.18789055182307604
2023-04-06,1.5,-0.8018427774984793,-0.8018427774984793
2023-04-09,2.25,-0.4948666646607777,-0.4948666646607777
2023-04-11,1.25,-0.9041681484443799,-0.9041681484443799
2023-04-16,2.5,-0.3925412937148771,-0.3925412937148771
2023-04-17,2.0,-0.5971920356066782,-0.5971920356066782
2023-04-18,2.0,-0.5971920356066782,-0.5971920356066782
2023-04-19,1.75,-0.6995174065525788,-0.6995174065525788
2023-04-20,2.0,-0.5971920356066782,-0.5971920356066782
2023-04-23,1.75,-0.6995174065525788,-0.6995174065525788
2023-04-24,3.0,-0.18789055182307604,-0.18789055182307604
2023-04-25,2.75,-0.29021592276897656,-0.29021592276897656
2023-04-26,2.5,-0.3925412937148771,-0.3925412937148771
2023-04-30,3.5,0.016760190068725086,0.016760190068725086
2023-05-01,2.5,-0.3925412937148771,-0.3925412937148771
2023-05-02,1.75,-0.6995174065525788,-0.6995174065525788
2023-05-03,7.5,1.6539661252031341,1.6539661252031341
2023-05-04,2.25,-0.4948666646607777,-0.4948666646607777
2023-05-07,3.5,0.016760190068725086,0.016760190068725086
2023-05-09,1.75,-0.6995174065525788,-0.6995174065525788
2023-05-14,2.0,-0.5971920356066782,-0.5971920356066782
2023-05-15,3.0,-0.18789055182307604,-0.18789055182307604
2023-05-16,2.5,-0.3925412937148771,-0.3925412937148771
2023-05-17,2.5,-0.3925412937148771,-0.3925412937148771
2023-05-18,1.75,-0.6995174065525788,-0.6995174065525788
2023-05-21,3.75,0.11908556101462564,0.11908556101462564
2023-05-22,2.0,-0.5971920356066782,-0.5971920356066782
2023-05-23,3.25,-0.08556518087717548,-0.08556518087717548
2023-05-24,4.75,0.5283870447982278,0.5283870447982278
2023-05-28,4.75,0.5283870447982278,0.5283870447982278
2023-05-30,3.5,0.016760190068725086,0.016760190068725086
2023-05-31,5.75,0.93768852858183,0.93768852858183
2023-06-01,2.25,-0.4948666646607777,-0.4948666646607777
2023-06-04,3.5,0.016760190068725086,0.016760190068725086
