Date,"Volatility of Returns (Session:Asia 18-24 ET, Interval:1m, Symbol:ZN)",ZScore wrt All Days,ZScore wrt Given Days
2024-09-30,2.0,-0.4837230938110238,-0.4837230938110238
2024-10-01,2.5,-0.30460284340694177,-0.30460284340694177
2024-10-02,2.0,-0.4837230938110238,-0.4837230938110238
2024-10-03,1.25,-0.7524034694171469,-0.7524034694171469
2024-10-06,3.25,-0.03592246780081868,-0.03592246780081868
2024-10-07,3.75,0.14319778260326338,0.14319778260326338
2024-10-08,1.75,-0.5732832190130649,-0.5732832190130649
2024-10-09,1.75,-0.5732832190130649,-0.5732832190130649
2024-10-13,1.5,-0.6628433442151058,-0.6628433442151058
2024-10-14,2.75,-0.21504271820490073,-0.21504271820490073
2024-10-15,1.25,-0.7524034694171469,-0.7524034694171469
2024-10-16,2.25,-0.3941629686089828,-0.3941629686089828
2024-10-17,1.5,-0.6628433442151058,-0.6628433442151058
2024-10-20,2.0,-0.4837230938110238,-0.4837230938110238
2024-10-21,2.75,-0.21504271820490073,-0.21504271820490073
2024-10-22,3.25,-0.03592246780081868,-0.03592246780081868
2024-10-23,3.5,0.05363765740122234,0.05363765740122234
2024-10-24,2.5,-0.30460284340694177,-0.30460284340694177
2024-10-27,6.0,0.9492389094216326,0.9492389094216326
2024-10-28,2.25,-0.3941629686089828,-0.3941629686089828
2024-10-29,2.25,-0.3941629686089828,-0.3941629686089828
2024-11-03,3.75,0.14319778260326338,0.14319778260326338
2024-11-04,2.5,-0.30460284340694177,-0.30460284340694177
2024-11-05,23.25,7.128887548362463,7.128887548362463
2024-11-06,2.75,-0.21504271820490073,-0.21504271820490073
2024-11-07,3.0,-0.12548259300285972,-0.12548259300285972
2024-11-10,3.75,0.14319778260326338,0.14319778260326338
2024-11-11,2.75,-0.21504271820490073,-0.21504271820490073
2024-11-12,2.5,-0.30460284340694177,-0.30460284340694177
2024-11-17,2.5,-0.30460284340694177,-0.30460284340694177
2024-11-18,2.0,-0.4837230938110238,-0.4837230938110238
2024-11-19,2.25,-0.3941629686089828,-0.3941629686089828
2024-11-20,1.25,-0.7524034694171469,-0.7524034694171469
2024-11-21,1.75,-0.5732832190130649,-0.5732832190130649
2024-11-24,3.75,0.14319778260326338,0.14319778260326338
2024-11-25,3.5,0.05363765740122234,0.05363765740122234
2024-11-26,2.0,-0.4837230938110238,-0.4837230938110238
2024-11-28,4.25,0.3223180330073454,0.3223180330073454
2024-12-01,4.5,0.41187815820938645,0.41187815820938645
2024-12-02,5.0,0.5909984086134685,0.5909984086134685
2024-12-03,4.5,0.41187815820938645,0.41187815820938645
